 7035.192 - KW trigger time, seconds UT.
 7040.550 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
16.848 keV	71.147 keV - energy interval of channel G1.
71.147 keV	293.278 keV - energy interval of channel G2.
293.278 keV	1160.972 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -999.761   -996.817       -0.00       -0.00       -0.00         nan         nan         nan      nan      nan      nan
 -996.817   -993.873     1114.71      417.09      147.99       26.50        6.75       -7.50    19.46    11.90     7.09
 -993.873   -990.929     1117.53      431.79      153.44       29.32       21.44       -2.04    19.48    12.11     7.22
 -990.929   -987.985     1072.90      416.78      158.91      -15.30        6.44        3.43    19.09    11.90     7.35
 -987.985   -985.041     1100.31      417.42      151.39       12.10        7.08       -4.09    19.33    11.91     7.17
 -985.041   -982.097     1070.14      420.88      156.18      -18.07       10.54        0.70    19.07    11.96     7.28
 -982.097   -979.153     1058.80      416.09      145.95      -29.41        5.75       -9.53    18.96    11.89     7.04
 -979.153   -976.209     1092.76      411.28      162.99        4.56        0.94        7.51    19.27    11.82     7.44
 -976.209   -973.265     1072.16      408.23      164.37      -16.05       -2.11        8.89    19.08    11.78     7.47
 -973.265   -970.321     1110.15      405.12      154.46       21.95       -5.22       -1.02    19.42    11.73     7.24
 -970.321   -967.377     1095.84      400.38      164.03        7.63       -9.96        8.55    19.29    11.66     7.46
 -967.377   -964.433     1099.00      416.10      165.74       10.80        5.75       10.25    19.32    11.89     7.50
 -964.433   -961.489     1096.47      400.00      164.35        8.27      -10.34        8.87    19.30    11.66     7.47
 -961.489   -958.545     1073.53      420.85      157.53      -14.68       10.51        2.05    19.10    11.96     7.32
 -958.545   -955.601     1093.35      408.53      149.69        5.14       -1.81       -5.80    19.27    11.78     7.13
 -955.601   -952.657     1114.76      418.50      159.93       26.56        8.15        4.45    19.46    11.92     7.37
 -952.657   -949.713     1073.14      419.47      165.71      -15.06        9.13       10.23    19.09    11.94     7.50
 -949.713   -946.769     1096.12      404.80      161.29        7.92       -5.55        5.81    19.30    11.73     7.40
 -946.769   -943.825     1084.49      410.26      152.76       -3.72       -0.09       -2.72    19.19    11.80     7.20
 -943.825   -940.881     1091.04      401.75      152.44        2.83       -8.60       -3.04    19.25    11.68     7.20
 -940.881   -937.937     1111.98      430.43      146.28       23.77       20.09       -9.20    19.43    12.09     7.05
 -937.937   -934.993     1120.82      407.86      155.48       32.62       -2.49        0.00    19.51    11.77     7.27
 -934.993   -932.049     1114.08      434.54      148.33       25.87       24.20       -7.15    19.45    12.15     7.10
 -932.049   -929.105     1071.43      404.78      151.73      -16.78       -5.57       -3.75    19.08    11.73     7.18
 -929.105   -926.161     1053.95      412.64      159.57      -34.26        2.30        4.09    18.92    11.84     7.36
 -926.161   -923.217     1097.84      421.53      149.69        9.64       11.19       -5.80    19.31    11.97     7.13
 -923.217   -920.273     1094.74      390.78      144.24        6.54      -19.56      -11.24    19.28    11.52     7.00
 -920.273   -917.329     1074.18      404.10      158.22      -14.03       -6.24        2.73    19.10    11.72     7.33
 -917.329   -914.385     1079.02      391.83      148.34       -9.19      -18.51       -7.14    19.14    11.54     7.10
 -914.385   -911.441     1086.61      418.50      152.44       -1.60        8.16       -3.05    19.21    11.92     7.20
 -911.441   -908.497     1090.77      421.23      161.64        2.56       10.89        6.16    19.25    11.96     7.41
 -908.497   -905.553     1084.44      404.43      153.09       -3.76       -5.91       -2.39    19.19    11.72     7.21
 -905.553   -902.609     1097.82      401.40      141.52        9.62       -8.94      -13.96    19.31    11.68     6.93
 -902.609   -899.665     1084.15      406.52      150.38       -4.06       -3.83       -5.10    19.19    11.75     7.15
 -899.665   -896.721     1119.47      392.86      170.17       31.26      -17.49       14.69    19.50    11.55     7.60
 -896.721   -893.777     1086.23      420.85      149.35       -1.97       10.50       -6.13    19.21    11.96     7.12
 -893.777   -890.833     1066.83      432.19      163.02      -21.38       21.85        7.54    19.04    12.12     7.44
 -890.833   -887.889     1097.58      417.46      152.77        9.38        7.12       -2.71    19.31    11.91     7.20
 -887.889   -884.945     1080.72      402.08      152.09       -7.49       -8.26       -3.39    19.16    11.69     7.19
 -884.945   -882.001     1091.38      417.45      144.92        3.17        7.11      -10.56    19.25    11.91     7.02
 -882.001   -879.057     1100.23      421.85      147.29       12.02       11.51       -8.19    19.33    11.97     7.07
 -879.057   -876.113     1078.33      397.27      158.22       -9.88      -13.07        2.74    19.14    11.62     7.33
 -876.113   -873.169     1107.82      400.03      155.50       19.61      -10.32        0.02    19.40    11.66     7.27
 -873.169   -870.225     1094.56      442.74      156.85        6.36       32.39        1.37    19.28    12.26     7.30
 -870.225   -867.281     1102.38      401.39      161.30       14.17       -8.95        5.81    19.35    11.68     7.40
 -867.281   -864.337     1069.82      415.43      157.55      -18.39        5.09        2.07    19.06    11.88     7.32
 -864.337   -861.393     1087.12      384.94      148.32       -1.09      -25.41       -7.16    19.22    11.44     7.10
 -861.393   -858.449     1078.45      420.22      157.22       -9.75        9.88        1.73    19.14    11.95     7.31
 -858.449   -855.505     1119.87      418.83      163.34       31.66        8.49        7.86    19.50    11.93     7.45
 -855.505   -852.561     1085.12      411.92      141.15       -3.09        1.57      -14.34    19.20    11.83     6.92
 -852.561   -849.617     1077.61      395.58      158.57      -10.60      -14.76        3.08    19.13    11.59     7.34
 -849.617   -846.673     1085.27      420.53      170.16       -2.93       10.19       14.68    19.20    11.95     7.60
 -846.673   -843.729     1086.22      425.30      147.64       -1.99       14.96       -7.84    19.21    12.02     7.08
 -843.729   -840.785     1093.39      394.90      160.96        5.18      -15.44        5.47    19.27    11.58     7.39
 -840.785   -837.841     1076.93      417.10      154.81      -11.27        6.76       -0.68    19.13    11.90     7.25
 -837.841   -834.897     1089.27      417.09      162.99        1.06        6.75        7.51    19.23    11.90     7.44
 -834.897   -831.953     1077.61      410.59      150.03      -10.60        0.24       -5.46    19.13    11.81     7.14
 -831.953   -829.009     1092.72      391.82      151.41        4.51      -18.52       -4.08    19.27    11.54     7.17
 -829.009   -826.065     1106.82      393.89      172.56       18.62      -16.45       17.08    19.39    11.57     7.66
 -826.065   -823.121     1088.21      406.14      143.88        0.00       -4.21      -11.60    19.23    11.74     6.99
 -823.121   -820.177     1077.23      408.87      159.91      -10.97       -1.47        4.43    19.13    11.79     7.37
