81956.854 - KW trigger time, seconds UT.
81962.306 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
18.848 keV	79.593 keV - energy interval of channel G1.
79.593 keV	328.097 keV - energy interval of channel G2.
328.097 keV	1298.804 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -798.374   -795.430     1046.79      335.57      133.58        9.77      -10.40       -1.86    18.86    10.68     6.74
 -795.430   -792.486     1046.70      321.55      128.46        9.68      -24.42       -6.98    18.86    10.45     6.61
 -792.486   -789.542     1064.68      355.73      133.93       27.66        9.76       -1.52    19.02    10.99     6.75
 -789.542   -786.598     1061.88      337.28      146.19       24.86       -8.69       10.75    18.99    10.70     7.05
 -786.598   -783.654     1032.43      348.20      136.30       -4.59        2.23        0.86    18.73    10.88     6.80
 -783.654   -780.710     1030.73      359.49      137.00       -6.29       13.52        1.56    18.71    11.05     6.82
 -780.710   -777.766     1067.00      347.51      140.73       29.98        1.54        5.29    19.04    10.87     6.91
 -777.766   -774.822     1047.74      348.18      131.87       10.72        2.21       -3.58    18.86    10.88     6.69
 -774.822   -771.878     1035.90      362.91      126.43       -1.12       16.93       -9.01    18.76    11.10     6.55
 -771.878   -768.934     1005.01      332.52      142.79      -32.01      -13.46        7.35    18.48    10.63     6.96
 -768.934   -765.990     1036.05      350.19      131.50       -0.97        4.21       -3.94    18.76    10.91     6.68
 -765.990   -763.046     1045.14      343.77      146.88        8.12       -2.20       11.44    18.84    10.81     7.06
 -763.046   -760.102     1049.56      359.12      133.57       12.54       13.15       -1.87    18.88    11.04     6.74
 -760.102   -757.158     1003.70      350.63      149.62      -33.32        4.66       14.18    18.46    10.91     7.13
 -757.158   -754.214     1041.99      346.49      131.87        4.97        0.51       -3.57    18.81    10.85     6.69
 -754.214   -751.270     1020.32      343.38      132.88      -16.70       -2.59       -2.56    18.62    10.80     6.72
 -751.270   -748.326      992.24      348.15      127.08      -44.78        2.18       -8.36    18.36    10.88     6.57
 -748.326   -745.382     1050.20      339.32      134.26       13.18       -6.65       -1.18    18.89    10.74     6.75
 -745.382   -742.438     1052.96      356.04      127.10       15.94       10.07       -8.34    18.91    11.00     6.57
 -742.438   -739.494     1037.95      351.29      128.48        0.93        5.32       -6.96    18.78    10.92     6.61
 -739.494   -736.550     1008.80      355.39      136.65      -28.22        9.42        1.21    18.51    10.99     6.81
 -736.550   -733.606     1043.66      342.04      146.86        6.64       -3.94       11.42    18.83    10.78     7.06
 -733.606   -730.662     1060.08      321.89      141.41       23.05      -24.09        5.97    18.98    10.46     6.93
 -730.662   -727.718     1035.10      337.96      131.54       -1.92       -8.02       -3.91    18.75    10.71     6.68
 -727.718   -724.774     1067.68      351.94      141.07       30.66        5.96        5.62    19.04    10.93     6.92
 -724.774   -721.830     1037.18      344.11      142.10        0.16       -1.87        6.66    18.77    10.81     6.95
 -721.830   -718.886     1031.07      346.17      138.02       -5.95        0.20        2.58    18.71    10.84     6.85
 -718.886   -715.942     1040.56      346.81      138.33        3.54        0.83        2.89    18.80    10.85     6.86
 -715.942   -712.998     1021.77      339.35      135.29      -15.25       -6.63       -0.15    18.63    10.74     6.78
 -712.998   -710.054     1046.86      344.81      143.48        9.84       -1.16        8.04    18.86    10.82     6.98
 -710.054   -707.110     1015.81      351.23      121.63      -21.21        5.25      -13.81    18.57    10.92     6.43
 -707.110   -704.166     1016.97      358.77      134.59      -20.05       12.80       -0.85    18.59    11.04     6.76
 -704.166   -701.222     1059.87      357.76      142.10       22.85       11.78        6.65    18.97    11.02     6.95
 -701.222   -698.278     1035.10      322.59      130.51       -1.92      -23.39       -4.93    18.75    10.47     6.66
 -698.278   -695.334     1031.73      347.86      130.17       -5.30        1.89       -5.27    18.72    10.87     6.65
 -695.334   -692.390     1066.30      346.15      130.51       29.28        0.17       -4.93    19.03    10.84     6.66
 -692.390   -689.446     1038.32      354.72      136.66        1.29        8.74        1.22    18.78    10.98     6.81
 -689.446   -686.502     1015.33      359.83      141.76      -21.70       13.86        6.32    18.57    11.06     6.94
 -686.502   -683.558     1008.44      360.84      135.97      -28.58       14.87        0.52    18.51    11.07     6.80
 -683.558   -680.614     1037.51      344.78      135.96        0.48       -1.19        0.52    18.77    10.82     6.80
 -680.614   -677.670     1018.34      341.37      133.58      -18.68       -4.61       -1.86    18.60    10.77     6.74
 -677.670   -674.726     1033.10      331.49      143.48       -3.92      -14.48        8.04    18.73    10.61     6.98
 -674.726   -671.782     1073.84      332.14      133.57       36.81      -13.83       -1.87    19.10    10.62     6.74
 -671.782   -668.838     1060.79      328.39      130.85       23.76      -17.58       -4.59    18.98    10.56     6.67
 -668.838   -665.894     1068.02      327.72      132.90       31.00      -18.25       -2.54    19.05    10.55     6.72
 -665.894   -662.950     1024.23      356.76      140.75      -12.79       10.79        5.31    18.65    11.01     6.91
 -662.950   -660.006     1023.11      348.87      135.28      -13.91        2.90       -0.16    18.64    10.89     6.78
 -660.006   -657.062     1001.19      349.23      140.05      -35.83        3.25        4.61    18.44    10.89     6.90
 -657.062   -654.118     1014.23      330.47      152.68      -22.79      -15.51       17.23    18.56    10.60     7.20
 -654.118   -651.174     1027.20      324.29      138.35       -9.82      -21.68        2.90    18.68    10.49     6.86
 -651.174   -648.230     1055.78      353.01      133.93       18.76        7.03       -1.51    18.94    10.95     6.75
 -648.230   -645.286     1038.87      342.38      139.37        1.85       -3.59        3.93    18.79    10.78     6.88
 -645.286   -642.342     1018.71      329.79      144.50      -18.31      -16.19        9.06    18.60    10.58     7.01
 -642.342   -639.398     1027.60      341.39      131.88       -9.43       -4.59       -3.56    18.68    10.77     6.69
 -639.398   -636.454     1008.29      334.16      128.11      -28.73      -11.81       -7.33    18.51    10.65     6.60
 -636.454   -633.510     1028.34      356.08      141.76       -8.68       10.10        6.33    18.69    11.00     6.94
 -633.510   -630.566     1007.09      350.27      138.02      -29.93        4.29        2.58    18.50    10.91     6.85
 -630.566   -627.622     1038.63      350.94      142.44        1.61        4.96        7.00    18.78    10.92     6.96
 -627.622   -624.678     1034.81      355.01      123.00       -2.21        9.03      -12.44    18.75    10.98     6.46
 -624.678   -621.734     1056.64      346.12      129.81       19.62        0.14       -5.63    18.95    10.84     6.64
 -621.734   -618.790     1025.16      345.44      130.50      -11.86       -0.53       -4.94    18.66    10.83     6.66
 -618.790   -615.846     1022.83      347.20      136.31      -14.19        1.22        0.87    18.64    10.86     6.80
 -615.846   -612.902     1019.41      360.51      132.22      -17.61       14.54       -3.22    18.61    11.07     6.70
 -612.902   -609.958     1061.58      349.22      136.64       24.55        3.24        1.20    18.99    10.89     6.81
 -609.958   -607.014     1059.46      345.13      129.83       22.43       -0.85       -5.61    18.97    10.83     6.64
 -607.014   -604.070     1037.54      335.22      131.87        0.52      -10.75       -3.57    18.77    10.67     6.69
 -604.070   -601.126     1028.96      324.33      155.75       -8.06      -21.64       20.31    18.70    10.50     7.27
 -601.126   -598.182     1072.54      359.81      134.60       35.52       13.84       -0.84    19.09    11.05     6.76
 -598.182   -595.238     1026.97      365.64      145.17      -10.05       19.66        9.73    18.68    11.14     7.02
 -595.238   -592.294     1049.55      356.40      133.92       12.53       10.43       -1.52    18.88    11.00     6.74
 -592.294   -589.350     1064.91      360.46      123.68       27.89       14.49      -11.76    19.02    11.06     6.48
 -589.350   -586.406     1036.61      359.51      137.35       -0.41       13.54        1.91    18.77    11.05     6.83
 -586.406   -583.462     1036.80      331.82      135.63       -0.22      -14.16        0.19    18.77    10.62     6.79
 -583.462   -580.518     1020.00      336.59      135.96      -17.02       -9.38        0.52    18.61    10.69     6.80
 -580.518   -577.574     1041.54      336.89      126.06        4.51       -9.08       -9.38    18.81    10.70     6.54
 -577.574   -574.630     1052.28      365.94      133.57       15.26       19.96       -1.87    18.91    11.15     6.74
 -574.630   -571.686     1007.29      331.47      136.30      -29.73      -14.50        0.86    18.50    10.61     6.80
 -571.686   -568.742     1048.18      352.98      140.39       11.15        7.01        4.95    18.87    10.95     6.91
