#,trigger date,trigger time (t_0),class,goes t_begin,goes t_max,goes t_end,kw-sun,light curve
1007,2023-01-06,00:55:14.287 (3314.287),X1.2,00:43,00:57,01:07,http://www.ioffe.ru/LEA/kwsun/2023/20230106_03314.html,https://www.ioffe.ru/LEA/Solar/2SOL20230106T03314.pdf
1008,2023-01-09,18:46:13.861 (67573.861),X1.9,18:37,18:50,18:57,http://www.ioffe.ru/LEA/kwsun/2023/20230109_67573.html,https://www.ioffe.ru/LEA/Solar/2SOL20230109T67573.pdf
1009,2023-01-10,00:14:21.767 (861.767),M5.1,00:09,00:16,00:22,http://www.ioffe.ru/LEA/kwsun/2023/20230110_00861.html,https://www.ioffe.ru/LEA/Solar/2SOL20230110T00861.pdf
1010,2023-01-10,22:45:56.854 (81956.854),X1.0,22:39,22:47,22:52,http://www.ioffe.ru/LEA/kwsun/2023/20230110_81956.html,https://www.ioffe.ru/LEA/Solar/2SOL20230110T81956.pdf
1011,2023-01-11,01:53:08.279 (6788.279),M5.6,01:49,01:56,02:01,http://www.ioffe.ru/LEA/kwsun/2023/20230111_06788.html,https://www.ioffe.ru/LEA/Solar/2SOL20230111T06788.pdf
1012,2023-01-11,08:32:14.125 (30734.125),M3.1,08:25,08:33,08:37,http://www.ioffe.ru/LEA/kwsun/2023/20230111_30734.html,https://www.ioffe.ru/LEA/Solar/2SOL20230111T30734.pdf
1013,2023-01-13,10:12:44.322 (36764.322),M3.9,10:05,10:15,10:19,http://www.ioffe.ru/LEA/kwsun/2023/20230113_36764.html,https://www.ioffe.ru/LEA/Solar/2SOL20230113T36764.pdf
1014,2023-02-11,15:45:01.041 (56701.041),X1.1,15:40,15:48,15:54,http://www.ioffe.ru/LEA/kwsun/2023/20230211_56701.html,https://www.ioffe.ru/LEA/Solar/2SOL20230211T56701.pdf
1015,2023-02-23,06:13:12.583 (22392.583),M1.5,06:11,06:14,06:18,http://www.ioffe.ru/LEA/kwsun/2023/20230223_22392.html,https://www.ioffe.ru/LEA/Solar/2SOL20230223T22392.pdf
1016,2023-02-23,08:09:11.819 (29351.819),C7.2,07:58,08:12,08:19,http://www.ioffe.ru/LEA/kwsun/2023/20230223_29351.html,https://www.ioffe.ru/LEA/Solar/2SOL20230223T29351.pdf
1017,2023-03-03,17:49:23.901 (64163.901),X2.1,17:42,17:52,17:59,http://www.ioffe.ru/LEA/kwsun/2023/20230303_64163.html,https://www.ioffe.ru/LEA/Solar/2SOL20230303T64163.pdf
1018,2023-03-19,02:14:49.985 (8089.985),C2.8,02:12,02:15,02:19,http://www.ioffe.ru/LEA/kwsun/2023/20230319_08089.html,https://www.ioffe.ru/LEA/Solar/2SOL20230319T08089.pdf
1019,2023-04-17,06:32:41.342 (23561.342),C7.0,06:21,06:33,06:39,http://www.ioffe.ru/LEA/kwsun/2023/20230417_23561.html,https://www.ioffe.ru/LEA/Solar/2SOL20230417T23561.pdf
1020,2023-05-01,13:07:52.892 (47272.892),M7.1,13:02,13:09,13:13,http://www.ioffe.ru/LEA/kwsun/2023/20230501_47272.html,https://www.ioffe.ru/LEA/Solar/2SOL20230501T47272.pdf
1021,2023-05-09,03:51:17.921 (13877.921),M6.5,03:42,03:54,04:05,http://www.ioffe.ru/LEA/kwsun/2023/20230509_13877.html,https://www.ioffe.ru/LEA/Solar/2SOL20230509T13877.pdf
