#,trigger date,trigger time (t_0),class,goes t_begin,goes t_max,goes t_end,kw-sun,light curve
485,2003-01-07,23:30:08.372 (84608.372),M4.9,23:25,23:33,23:40,http://www.ioffe.ru/LEA/kwsun/2003/20030107_84608.html,https://www.ioffe.ru/LEA/Solar/2SOL20030107T84608.pdf
486,2003-02-21,19:48:36.554 (71316.554),C4.3,19:46,19:50,19:54,http://www.ioffe.ru/LEA/kwsun/2003/20030221_71316.html,https://www.ioffe.ru/LEA/Solar/2SOL20030221T71316.pdf
487,2003-02-22,09:28:12.433 (34092.433),C5.8,09:24,09:29,09:31,http://www.ioffe.ru/LEA/kwsun/2003/20030222_34092.html,https://www.ioffe.ru/LEA/Solar/2SOL20030222T34092.pdf
488,2003-03-05,02:58:40.468 (10720.468),B6.5,02:57,03:01,03:13,http://www.ioffe.ru/LEA/kwsun/2003/20030305_10720.html,https://www.ioffe.ru/LEA/Solar/2SOL20030305T10720.pdf
489,2003-03-17,18:57:11.621 (68231.621),X1.5,18:50,19:05,19:16,http://www.ioffe.ru/LEA/kwsun/2003/20030317_68231.html,https://www.ioffe.ru/LEA/Solar/2SOL20030317T68231.pdf
490,2003-03-18,12:01:25.977 (43285.977),X1.5,11:51,12:08,12:20,http://www.ioffe.ru/LEA/kwsun/2003/20030318_43285.html,https://www.ioffe.ru/LEA/Solar/2SOL20030318T43285.pdf
491,2003-03-19,13:31:15.293 (48675.293),M1.4,13:25,13:32,13:38,http://www.ioffe.ru/LEA/kwsun/2003/20030319_48675.html,https://www.ioffe.ru/LEA/Solar/2SOL20030319T48675.pdf
492,2003-03-20,11:27:31.621 (41251.621),M1.5,11:25,11:31,11:37,http://www.ioffe.ru/LEA/kwsun/2003/20030320_41251.html,https://www.ioffe.ru/LEA/Solar/2SOL20030320T41251.pdf
493,2003-04-09,09:29:08.217 (34148.217),C6.4,09:22,09:33,09:49,http://www.ioffe.ru/LEA/kwsun/2003/20030409_34148.html,https://www.ioffe.ru/LEA/Solar/2SOL20030409T34148.pdf
494,2003-04-09,23:27:02.806 (84422.806),M2.5,23:23,23:29,23:34,http://www.ioffe.ru/LEA/kwsun/2003/20030409_84422.html,https://www.ioffe.ru/LEA/Solar/2SOL20030409T84422.pdf
