#,trigger date,trigger time (t_0),class,goes t_begin,goes t_max,goes t_end,kw-sun,light curve
30,1998-03-05,23:08:16.027 (83296.027),C5.6,23:02,23:09,23:12,http://www.ioffe.ru/LEA/kwsun/1998/19980305_83296.html,https://www.ioffe.ru/LEA/Solar/2SOL19980305T83296.pdf
31,1998-03-15,21:42:19.785 (78139.785),M2.7,21:41,21:46,21:50,http://www.ioffe.ru/LEA/kwsun/1998/19980315_78139.html,https://www.ioffe.ru/LEA/Solar/2SOL19980315T78139.pdf
32,1998-04-09,18:13:29.207 (65609.207),C2.9,18:10,18:15,18:19,http://www.ioffe.ru/LEA/kwsun/1998/19980409_65609.html,https://www.ioffe.ru/LEA/Solar/2SOL19980409T65609.pdf
33,1998-04-29,16:36:40.967 (59800.967),M6.8,16:06,16:37,16:59,http://www.ioffe.ru/LEA/kwsun/1998/19980429_59800.html,https://www.ioffe.ru/LEA/Solar/2SOL19980429T59800.pdf
34,1998-05-02,04:56:17.419 (17777.419),C5.4,04:48,05:00,05:21,http://www.ioffe.ru/LEA/kwsun/1998/19980502_17777.html,https://www.ioffe.ru/LEA/Solar/2SOL19980502T17777.pdf
35,1998-05-06,08:02:53.411 (28973.411),X2.7,07:58,08:09,08:20,http://www.ioffe.ru/LEA/kwsun/1998/19980506_28973.html,https://www.ioffe.ru/LEA/Solar/2SOL19980506T28973.pdf
36,1998-05-08,01:57:18.426 (7038.426),M3.1,01:49,02:04,02:17,http://www.ioffe.ru/LEA/kwsun/1998/19980508_07038.html,https://www.ioffe.ru/LEA/Solar/2SOL19980508T07038.pdf
37,1998-05-09,03:23:04.289 (12184.289),M7.7,03:04,03:40,03:55,http://www.ioffe.ru/LEA/kwsun/1998/19980509_12184.html,https://www.ioffe.ru/LEA/Solar/2SOL19980509T12184.pdf
38,1998-05-10,13:18:26.603 (47906.603),M3.9,13:13,13:20,13:23,http://www.ioffe.ru/LEA/kwsun/1998/19980510_47906.html,https://www.ioffe.ru/LEA/Solar/2SOL19980510T47906.pdf
39,1998-05-28,19:02:54.765 (68574.765),C8.7,18:59,19:12,19:18,http://www.ioffe.ru/LEA/kwsun/1998/19980528_68574.html,https://www.ioffe.ru/LEA/Solar/2SOL19980528T68574.pdf
40,1998-05-29,00:55:34.440 (3334.440),M6.7,00:51,00:59,01:03,http://www.ioffe.ru/LEA/kwsun/1998/19980529_03334.html,https://www.ioffe.ru/LEA/Solar/2SOL19980529T03334.pdf
41,1998-06-13,04:18:30.172 (15510.172),M1.9,04:15,04:20,04:28,http://www.ioffe.ru/LEA/kwsun/1998/19980613_15510.html,https://www.ioffe.ru/LEA/Solar/2SOL19980613T15510.pdf
42,1998-06-28,11:41:07.595 (42067.595),B8.8,11:38,11:42,11:45,http://www.ioffe.ru/LEA/kwsun/1998/19980628_42067.html,https://www.ioffe.ru/LEA/Solar/2SOL19980628T42067.pdf
43,1998-08-08,03:14:36.531 (11676.531),M3.0,03:12,03:17,03:20,http://www.ioffe.ru/LEA/kwsun/1998/19980808_11676.html,https://www.ioffe.ru/LEA/Solar/2SOL19980808T11676.pdf
44,1998-08-13,17:54:10.367 (64450.367),C9.5,17:50,17:56,18:00,http://www.ioffe.ru/LEA/kwsun/1998/19980813_64450.html,https://www.ioffe.ru/LEA/Solar/2SOL19980813T64450.pdf
45,1998-08-14,08:25:51.171 (30351.171),M3.1,08:19,08:28,08:32,http://www.ioffe.ru/LEA/kwsun/1998/19980814_30351.html,https://www.ioffe.ru/LEA/Solar/2SOL19980814T30351.pdf
46,1998-08-17,21:13:31.445 (76411.445),X1.2,21:10,21:20,21:30,http://www.ioffe.ru/LEA/kwsun/1998/19980817_76411.html,https://www.ioffe.ru/LEA/Solar/2SOL19980817T76411.pdf
47,1998-08-18,08:18:01.433 (29881.433),X2.8,08:14,08:24,08:32,http://www.ioffe.ru/LEA/kwsun/1998/19980818_29881.html,https://www.ioffe.ru/LEA/Solar/2SOL19980818T29881.pdf
48,1998-08-18,22:13:10.994 (79990.994),X4.9,22:10,22:19,22:28,http://www.ioffe.ru/LEA/kwsun/1998/19980818_79990.html,https://www.ioffe.ru/LEA/Solar/2SOL19980818T79990.pdf
49,1998-08-19,14:09:56.102 (50996.102),M3.0,14:04,14:26,14:44,http://www.ioffe.ru/LEA/kwsun/1998/19980819_50996.html,https://www.ioffe.ru/LEA/Solar/2SOL19980819T50996.pdf
50,1998-08-19,21:40:02.352 (78002.352),X3.9,21:35,21:45,21:50,http://www.ioffe.ru/LEA/kwsun/1998/19980819_78002.html,https://www.ioffe.ru/LEA/Solar/2SOL19980819T78002.pdf
51,1998-08-22,15:05:28.734 (54328.734),C1.9,15:03,15:06,15:09,http://www.ioffe.ru/LEA/kwsun/1998/19980822_54328.html,https://www.ioffe.ru/LEA/Solar/2SOL19980822T54328.pdf
52,1998-08-23,09:30:09.848 (34209.848),M2.2,09:23,09:34,09:47,http://www.ioffe.ru/LEA/kwsun/1998/19980823_34209.html,https://www.ioffe.ru/LEA/Solar/2SOL19980823T34209.pdf
53,1998-08-24,22:01:51.773 (79311.773),X1.0,21:50,22:12,22:35,http://www.ioffe.ru/LEA/kwsun/1998/19980824_79311.html,https://www.ioffe.ru/LEA/Solar/2SOL19980824T79311.pdf
54,1998-08-30,18:03:15.550 (64995.550),M1.3,18:00,18:05,18:09,http://www.ioffe.ru/LEA/kwsun/1998/19980830_64995.html,https://www.ioffe.ru/LEA/Solar/2SOL19980830T64995.pdf
55,1998-09-05,06:25:31.249 (23131.249),C1.3,06:23,06:26,06:29,http://www.ioffe.ru/LEA/kwsun/1998/19980905_23131.html,https://www.ioffe.ru/LEA/Solar/2SOL19980905T23131.pdf
56,1998-09-06,02:12:10.664 (7930.664),C2.3,02:09,02:13,02:16,http://www.ioffe.ru/LEA/kwsun/1998/19980906_07930.html,https://www.ioffe.ru/LEA/Solar/2SOL19980906T07930.pdf
57,1998-09-06,11:06:10.623 (39970.623),C1.3,11:03,11:07,11:10,http://www.ioffe.ru/LEA/kwsun/1998/19980906_39970.html,https://www.ioffe.ru/LEA/Solar/2SOL19980906T39970.pdf
58,1998-09-09,04:55:36.594 (17736.594),M2.8,04:52,04:58,05:05,http://www.ioffe.ru/LEA/kwsun/1998/19980909_17736.html,https://www.ioffe.ru/LEA/Solar/2SOL19980909T17736.pdf
59,1998-09-20,02:40:02.829 (9602.829),M1.8,02:33,02:51,03:28,http://www.ioffe.ru/LEA/kwsun/1998/19980920_09602.html,https://www.ioffe.ru/LEA/Solar/2SOL19980920T09602.pdf
60,1998-09-23,06:52:01.914 (24721.914),M7.1,06:40,07:13,07:31,http://www.ioffe.ru/LEA/kwsun/1998/19980923_24721.html,https://www.ioffe.ru/LEA/Solar/2SOL19980923T24721.pdf
61,1998-09-27,08:08:35.862 (29315.862),C2.6,08:06,08:13,08:23,http://www.ioffe.ru/LEA/kwsun/1998/19980927_29315.html,https://www.ioffe.ru/LEA/Solar/2SOL19980927T29315.pdf
62,1998-09-27,23:38:49.320 (85129.320),C6.0,23:37,23:42,23:49,http://www.ioffe.ru/LEA/kwsun/1998/19980927_85129.html,https://www.ioffe.ru/LEA/Solar/2SOL19980927T85129.pdf
63,1998-09-28,06:52:45.356 (24765.356),M3.5,06:49,06:54,06:57,http://www.ioffe.ru/LEA/kwsun/1998/19980928_24765.html,https://www.ioffe.ru/LEA/Solar/2SOL19980928T24765.pdf
64,1998-09-28,12:00:16.505 (43216.505),C9.5,11:56,12:01,12:06,http://www.ioffe.ru/LEA/kwsun/1998/19980928_43216.html,https://www.ioffe.ru/LEA/Solar/2SOL19980928T43216.pdf
65,1998-10-07,15:39:03.937 (56343.937),C3.1,15:36,15:41,15:48,http://www.ioffe.ru/LEA/kwsun/1998/19981007_56343.html,https://www.ioffe.ru/LEA/Solar/2SOL19981007T56343.pdf
66,1998-10-08,08:32:47.822 (30767.822),C4.5,08:21,08:37,08:41,http://www.ioffe.ru/LEA/kwsun/1998/19981008_30767.html,https://www.ioffe.ru/LEA/Solar/2SOL19981008T30767.pdf
