66756.212 - KW trigger time, seconds UT.
66761.375 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
18.408 keV	77.737 keV - energy interval of channel G1.
77.737 keV	320.444 keV - energy interval of channel G2.
320.444 keV	1268.511 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -999.009   -996.065     1011.48      343.79      120.83       -6.16        6.05        0.99    18.54    10.81     6.41
 -996.065   -993.121     1045.12      343.81      116.07       27.49        6.08       -3.76    18.84    10.81     6.28
 -993.121   -990.177     1000.82      340.34      121.83      -16.82        2.60        1.99    18.44    10.75     6.43
 -990.177   -987.233     1023.11      337.98      121.17        5.47        0.25        1.33    18.64    10.71     6.42
 -987.233   -984.289     1030.93      333.54      115.72       13.29       -4.20       -4.12    18.71    10.64     6.27
 -984.289   -981.345     1004.26      349.92      111.29      -13.37       12.18       -8.55    18.47    10.90     6.15
 -981.345   -978.401     1022.50      340.38      117.77        4.86        2.64       -2.07    18.64    10.75     6.33
 -978.401   -975.457     1002.24      337.31      116.06      -15.40       -0.42       -3.77    18.45    10.70     6.28
 -975.457   -972.513      992.24      325.02      119.80      -25.40      -12.72       -0.03    18.36    10.51     6.38
 -972.513   -969.569     1016.29      339.69      121.17       -1.35        1.96        1.33    18.58    10.74     6.42
 -969.569   -966.625     1015.65      339.38      126.97       -1.99        1.64        7.13    18.57    10.74     6.57
 -966.625   -963.681     1015.92      346.51      120.14       -1.72        8.77        0.31    18.58    10.85     6.39
 -963.681   -960.737     1005.38      350.63      127.98      -12.26       12.89        8.14    18.48    10.91     6.59
 -960.737   -957.793     1049.98      356.45      125.27       32.34       18.71        5.43    18.89    11.00     6.52
 -957.793   -954.849      997.76      333.88      122.86      -19.88       -3.85        3.03    18.41    10.65     6.46
 -954.849   -951.905      994.95      320.24      123.55      -22.69      -17.50        3.71    18.38    10.43     6.48
 -951.905   -948.961     1031.69      351.96      113.33       14.05       14.23       -6.50    18.72    10.93     6.21
 -948.961   -946.017      998.50      332.19      131.72      -19.14       -5.54       11.88    18.42    10.62     6.69
 -946.017   -943.073     1020.37      328.77      130.01        2.73       -8.96       10.18    18.62    10.57     6.64
 -943.073   -940.129      987.55      351.30      114.02      -30.09       13.56       -5.81    18.32    10.92     6.22
 -940.129   -937.185     1030.72      339.37      122.54       13.08        1.64        2.70    18.71    10.74     6.45
 -937.185   -934.241     1002.30      353.36      123.56      -15.34       15.63        3.72    18.45    10.96     6.48
 -934.241   -931.297     1049.48      334.58      125.60       31.84       -3.16        5.76    18.88    10.66     6.53
 -931.297   -928.353     1000.91      348.90      118.10      -16.73       11.17       -1.73    18.44    10.89     6.33
