58886.750 - KW trigger time, seconds UT.
58892.178 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
18.320 keV	77.365 keV - energy interval of channel G1.
77.365 keV	318.914 keV - energy interval of channel G2.
318.914 keV	1262.452 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -997.943   -994.999     1027.48      341.02       95.62        5.72        7.93      -10.36    18.68    10.76     5.70
 -994.999   -992.055     1019.28      332.50      104.14       -2.49       -0.59       -1.84    18.61    10.63     5.95
 -992.055   -989.111     1001.10      333.85       95.29      -20.66        0.77      -10.70    18.44    10.65     5.69
 -989.111   -986.167     1042.57      341.35      104.47       20.80        8.26       -1.51    18.82    10.77     5.96
 -986.167   -983.223     1023.02      339.98       96.98        1.26        6.89       -9.00    18.64    10.75     5.74
 -983.223   -980.279     1043.21      318.86      111.28       21.44      -14.23        5.30    18.82    10.41     6.15
 -980.279   -977.335     1043.62      329.44      115.03       21.85       -3.65        9.05    18.83    10.58     6.25
 -977.335   -974.391     1022.69      330.79      106.18        0.92       -2.29        0.20    18.64    10.60     6.01
 -974.391   -971.447     1019.62      341.70      102.77       -2.14        8.61       -3.21    18.61    10.77     5.91
 -971.447   -968.503     1039.53      344.08      101.75       17.76       10.99       -4.24    18.79    10.81     5.88
 -968.503   -965.559     1044.30      332.49      105.50       22.53       -0.59       -0.48    18.83    10.63     5.99
 -965.559   -962.615     1016.87      335.91      111.62       -4.89        2.82        5.64    18.59    10.68     6.16
 -962.615   -959.671     1000.37      325.99      102.42      -21.40       -7.10       -3.56    18.43    10.52     5.90
 -959.671   -956.727     1031.31      345.48      112.65        9.54       12.39        6.67    18.72    10.83     6.19
 -956.727   -953.783     1039.71      321.21      106.51       17.95      -11.87        0.53    18.79    10.45     6.01
 -953.783   -950.839     1019.59      334.88      109.58       -2.17        1.79        3.60    18.61    10.66     6.10
 -950.839   -947.895      979.25      345.12      117.41      -42.52       12.04       11.43    18.24    10.83     6.32
 -947.895   -944.951     1012.36      329.05      101.74       -9.41       -4.04       -4.24    18.54    10.57     5.88
 -944.951   -942.007      999.43      339.66      110.26      -22.33        6.58        4.28    18.43    10.74     6.12
 -942.007   -939.063     1013.80      349.88      104.47       -7.96       16.80       -1.51    18.56    10.90     5.96
 -939.063   -936.119     1017.17      322.93      107.19       -4.60      -10.15        1.21    18.59    10.47     6.03
 -936.119   -933.175     1052.43      324.64      103.11       30.66       -8.45       -2.87    18.91    10.50     5.92
 -933.175   -930.231     1043.12      321.89      103.44       21.36      -11.19       -2.54    18.82    10.46     5.93
 -930.231   -927.287     1047.33      331.45      109.57       25.56       -1.63        3.59    18.86    10.61     6.10
 -927.287   -924.343     1032.98      319.87      103.79       11.21      -13.21       -2.19    18.73    10.42     5.94
 -924.343   -921.399     1017.54      327.38      113.67       -4.23       -5.70        7.68    18.59    10.54     6.21
 -921.399   -918.455     1059.44      345.81      111.63       37.67       12.73        5.65    18.97    10.84     6.16
 -918.455   -915.511     1039.12      327.38      108.56       17.35       -5.70        2.58    18.79    10.54     6.07
 -915.511   -912.567     1047.69      329.08      102.09       25.92       -4.00       -3.89    18.86    10.57     5.89
 -912.567   -909.623     1006.26      335.56      107.54      -15.51        2.47        1.55    18.49    10.68     6.04
