#,trigger date,trigger time (t_0),class,goes t_begin,goes t_max,goes t_end,kw-sun,light curve
706,2011-02-13,17:33:59.215 (63239.215),M6.6,17:28,17:38,17:47,http://www.ioffe.ru/LEA/kwsun/2011/20110213_63239.html,https://www.ioffe.ru/LEA/Solar/2SOL20110213T63239.pdf
707,2011-02-14,17:24:53.608 (62693.608),M2.2,17:20,17:26,17:32,http://www.ioffe.ru/LEA/kwsun/2011/20110214_62693.html,https://www.ioffe.ru/LEA/Solar/2SOL20110214T62693.pdf
708,2011-02-14,19:29:20.077 (70160.077),C6.6,19:23,19:30,19:36,http://www.ioffe.ru/LEA/kwsun/2011/20110214_70160.html,https://www.ioffe.ru/LEA/Solar/2SOL20110214T70160.pdf
709,2011-02-15,01:53:08.473 (6788.473),X2.2,01:44,01:56,02:06,http://www.ioffe.ru/LEA/kwsun/2011/20110215_06788.html,https://www.ioffe.ru/LEA/Solar/2SOL20110215T06788.pdf
710,2011-02-15,04:29:02.225 (16142.225),C4.8,04:27,04:32,04:37,http://www.ioffe.ru/LEA/kwsun/2011/20110215_16142.html,https://www.ioffe.ru/LEA/Solar/2SOL20110215T16142.pdf
711,2011-02-18,10:10:48.442 (36648.442),M6.6,09:55,10:11,10:15,http://www.ioffe.ru/LEA/kwsun/2011/20110218_36648.html,https://www.ioffe.ru/LEA/Solar/2SOL20110218T36648.pdf
712,2011-02-24,07:29:46.122 (26986.122),M3.5,07:23,07:35,07:42,http://www.ioffe.ru/LEA/kwsun/2011/20110224_26986.html,https://www.ioffe.ru/LEA/Solar/2SOL20110224T26986.pdf
713,2011-03-07,05:09:59.922 (18599.922),M1.2,05:00,05:13,05:19,http://www.ioffe.ru/LEA/kwsun/2011/20110307_18599.html,https://www.ioffe.ru/LEA/Solar/2SOL20110307T18599.pdf
714,2011-03-07,09:18:05.085 (33485.085),M1.8,09:14,09:20,09:28,http://www.ioffe.ru/LEA/kwsun/2011/20110307_33485.html,https://www.ioffe.ru/LEA/Solar/2SOL20110307T33485.pdf
715,2011-03-07,19:59:19.180 (71959.180),M3.7,19:43,20:12,20:58,http://www.ioffe.ru/LEA/kwsun/2011/20110307_71959.html,https://www.ioffe.ru/LEA/Solar/2SOL20110307T71959.pdf
716,2011-03-08,10:40:28.796 (38428.796),M5.3,10:35,10:44,10:55,http://www.ioffe.ru/LEA/kwsun/2011/20110308_38428.html,https://www.ioffe.ru/LEA/Solar/2SOL20110308T38428.pdf
717,2011-03-09,23:21:10.759 (84070.759),X1.5,23:13,23:23,23:29,http://www.ioffe.ru/LEA/kwsun/2011/20110309_84070.html,https://www.ioffe.ru/LEA/Solar/2SOL20110309T84070.pdf
718,2011-03-14,19:51:24.357 (71484.357),M4.2,19:30,19:52,19:54,http://www.ioffe.ru/LEA/kwsun/2011/20110314_71484.html,https://www.ioffe.ru/LEA/Solar/2SOL20110314T71484.pdf
719,2011-03-15,00:21:57.533 (1317.533),M1.0,00:18,00:22,00:24,http://www.ioffe.ru/LEA/kwsun/2011/20110315_01317.html,https://www.ioffe.ru/LEA/Solar/2SOL20110315T01317.pdf
720,2011-03-21,11:46:18.799 (42378.799),C2.6,11:45,11:47,11:50,http://www.ioffe.ru/LEA/kwsun/2011/20110321_42378.html,https://www.ioffe.ru/LEA/Solar/2SOL20110321T42378.pdf
721,2011-03-23,02:11:42.595 (7902.595),M1.4,02:03,02:17,02:24,http://www.ioffe.ru/LEA/kwsun/2011/20110323_07902.html,https://www.ioffe.ru/LEA/Solar/2SOL20110323T07902.pdf
722,2011-05-29,21:07:31.482 (76051.482),C8.7,20:11,21:20,21:48,http://www.ioffe.ru/LEA/kwsun/2011/20110529_76051.html,https://www.ioffe.ru/LEA/Solar/2SOL20110529T76051.pdf
723,2011-06-07,06:24:54.454 (23094.454),M2.5,06:16,06:41,06:59,http://www.ioffe.ru/LEA/kwsun/2011/20110607_23094.html,https://www.ioffe.ru/LEA/Solar/2SOL20110607T23094.pdf
724,2011-06-14,21:41:29.578 (78089.578),M1.3,21:36,21:47,22:10,http://www.ioffe.ru/LEA/kwsun/2011/20110614_78089.html,https://www.ioffe.ru/LEA/Solar/2SOL20110614T78089.pdf
725,2011-07-30,02:07:31.497 (7651.497),M9.3,02:04,02:09,02:12,http://www.ioffe.ru/LEA/kwsun/2011/20110730_07651.html,https://www.ioffe.ru/LEA/Solar/2SOL20110730T07651.pdf
726,2011-08-03,04:31:01.758 (16261.758),M1.7,04:29,04:32,04:35,http://www.ioffe.ru/LEA/kwsun/2011/20110803_16261.html,https://www.ioffe.ru/LEA/Solar/2SOL20110803T16261.pdf
727,2011-08-04,03:45:23.117 (13523.117),M9.3,03:41,03:57,04:04,http://www.ioffe.ru/LEA/kwsun/2011/20110804_13523.html,https://www.ioffe.ru/LEA/Solar/2SOL20110804T13523.pdf
728,2011-08-09,08:01:28.310 (28888.310),X6.9,07:48,08:05,08:08,http://www.ioffe.ru/LEA/kwsun/2011/20110809_28888.html,https://www.ioffe.ru/LEA/Solar/2SOL20110809T28888.pdf
729,2011-09-06,22:18:05.187 (80285.187),X2.1,22:12,22:20,22:24,http://www.ioffe.ru/LEA/kwsun/2011/20110906_80285.html,https://www.ioffe.ru/LEA/Solar/2SOL20110906T80285.pdf
730,2011-09-07,22:35:26.331 (81326.331),X1.8,22:32,22:38,22:44,--,https://www.ioffe.ru/LEA/Solar/2SOL20110907T81326.pdf
731,2011-09-08,15:42:52.314 (56572.314),M6.7,15:32,15:46,15:52,http://www.ioffe.ru/LEA/kwsun/2011/20110908_56572.html,https://www.ioffe.ru/LEA/Solar/2SOL20110908T56572.pdf
732,2011-09-20,06:48:06.021 (24486.021),C2.0,06:44,06:56,07:00,http://www.ioffe.ru/LEA/kwsun/2011/20110920_24486.html,https://www.ioffe.ru/LEA/Solar/2SOL20110920T24486.pdf
733,2011-09-22,04:27:41.276 (16061.276),C6.6,04:20,04:28,04:41,--,https://www.ioffe.ru/LEA/Solar/2SOL20110922T16061.pdf
734,2011-09-22,10:42:19.918 (38539.918),X1.4,10:29,11:01,11:44,http://www.ioffe.ru/LEA/kwsun/2011/20110922_38539.html,https://www.ioffe.ru/LEA/Solar/2SOL20110922T38539.pdf
735,2011-09-24,09:35:03.350 (34503.350),X1.9,09:21,09:40,09:48,http://www.ioffe.ru/LEA/kwsun/2011/20110924_34503.html,https://www.ioffe.ru/LEA/Solar/2SOL20110924T34503.pdf
