23094.454 - KW trigger time, seconds UT.
23099.769 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
17.089 keV	72.168 keV - energy interval of channel G1.
72.168 keV	297.487 keV - energy interval of channel G2.
297.487 keV	1177.633 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -999.859   -996.915     1333.29      750.66      404.60       -9.84       35.56       -2.36    21.28    15.97    11.72
 -996.915   -993.971     1345.59      728.92      405.26        2.45       13.82       -1.71    21.38    15.73    11.73
 -993.971   -991.027     1345.91      729.30      394.64        2.77       14.19      -12.32    21.38    15.74    11.58
 -991.027   -988.083     1334.55      716.64      414.19       -8.58        1.54        7.23    21.29    15.60    11.86
 -988.083   -985.139     1321.07      711.47      415.88      -22.06       -3.64        8.92    21.18    15.55    11.88
 -985.139   -982.195     1319.94      720.31      392.91      -23.20        5.20      -14.05    21.17    15.64    11.55
 -982.195   -979.251     1363.07      704.27      432.99       19.93      -10.84       26.03    21.52    15.47    12.13
 -979.251   -976.307     1360.86      703.81      405.89       17.73      -11.30       -1.07    21.50    15.46    11.74
 -976.307   -973.363     1347.89      710.03      412.08        4.75       -5.07        5.12    21.40    15.53    11.83
 -973.363   -970.419     1343.74      694.29      421.00        0.61      -20.82       14.04    21.36    15.36    11.96
 -970.419   -967.475     1344.27      719.05      408.38        1.14        3.94        1.42    21.37    15.63    11.78
 -967.475   -964.531     1374.03      710.03      416.18       30.89       -5.08        9.21    21.60    15.53    11.89
 -964.531   -961.587     1355.06      707.29      412.08       11.93       -7.81        5.12    21.45    15.50    11.83
 -961.587   -958.643     1318.94      695.29      416.57      -24.20      -19.81        9.60    21.17    15.37    11.89
 -958.643   -955.699     1344.53      727.25      408.01        1.40       12.15        1.04    21.37    15.72    11.77
 -955.699   -952.755     1307.93      739.89      398.37      -35.20       24.79       -8.59    21.08    15.85    11.63
 -952.755   -949.811     1335.67      758.82      412.08       -7.47       43.71        5.11    21.30    16.05    11.83
 -949.811   -946.867     1315.44      722.63      396.27      -27.70        7.52      -10.69    21.14    15.67    11.60
 -946.867   -943.923     1339.03      711.80      412.10       -4.11       -3.31        5.14    21.33    15.55    11.83
 -943.923   -940.979     1361.09      704.33      415.25       17.95      -10.78        8.29    21.50    15.47    11.88
 -940.979   -938.035     1342.40      721.38      396.35       -0.74        6.28      -10.62    21.35    15.65    11.60
 -938.035   -935.091     1338.12      732.92      395.57       -5.01       17.82      -11.40    21.32    15.78    11.59
 -935.091   -932.147     1325.83      721.34      387.07      -17.31        6.23      -19.89    21.22    15.65    11.47
 -932.147   -929.203     1341.77      744.06      431.57       -1.37       28.95       24.61    21.35    15.90    12.11
 -929.203   -926.259     1321.80      707.00      418.95      -21.34       -8.11       11.99    21.19    15.50    11.93
 -926.259   -923.315     1382.19      700.00      406.22       39.05      -15.11       -0.74    21.67    15.42    11.75
 -923.315   -920.371     1332.07      723.09      396.02      -11.07        7.99      -10.95    21.27    15.67    11.60
 -920.371   -917.427     1316.59      745.46      402.16      -26.54       30.35       -4.80    21.15    15.91    11.69
 -917.427   -914.483     1334.87      738.17      410.69       -8.27       23.06        3.73    21.29    15.84    11.81
 -914.483   -911.539     1346.09      707.58      402.81        2.95       -7.52       -4.16    21.38    15.50    11.70
 -911.539   -908.595     1350.54      733.31      394.24        7.41       18.20      -12.73    21.42    15.78    11.57
 -908.595   -905.651     1375.48      729.58      380.93       32.34       14.48      -26.03    21.61    15.74    11.38
 -905.651   -902.707     1346.13      722.34      394.25        2.99        7.23      -12.71    21.38    15.66    11.57
 -902.707   -899.763     1356.85      720.37      423.37       13.71        5.27       16.40    21.47    15.64    11.99
 -899.763   -896.819     1363.15      743.39      400.81       20.02       28.29       -6.16    21.52    15.89    11.67
 -896.819   -893.875     1327.28      720.03      407.32      -15.86        4.92        0.36    21.23    15.64    11.76
 -893.875   -890.931     1305.95      740.95      407.64      -37.19       25.85        0.68    21.06    15.87    11.77
 -890.931   -887.987     1344.84      710.11      414.19        1.70       -5.00        7.22    21.37    15.53    11.86
 -887.987   -885.043     1353.49      691.05      394.22       10.36      -24.05      -12.74    21.44    15.32    11.57
 -885.043   -882.099     1332.63      717.14      402.44      -10.51        2.04       -4.53    21.28    15.61    11.69
 -882.099   -879.155     1361.87      705.51      390.84       18.73       -9.60      -16.12    21.51    15.48    11.52
 -879.155   -876.211     1315.80      721.70      404.21      -27.34        6.59       -2.75    21.14    15.66    11.72
 -876.211   -873.267     1323.37      713.78      400.77      -19.77       -1.32       -6.20    21.20    15.57    11.67
