42271.685 - KW trigger time, seconds UT.
42272.409 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
17.265 keV	72.910 keV - energy interval of channel G1.
72.910 keV	300.548 keV - energy interval of channel G2.
300.548 keV	1189.750 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -998.838   -995.894     1123.88      357.18      121.88       40.53      -16.73       -4.15    19.54    11.02     6.43
 -995.894   -992.950     1076.19      365.34      115.05       -7.16       -8.57      -10.97    19.12    11.14     6.25
 -992.950   -990.006     1075.61      367.43      137.54       -7.75       -6.48       11.51    19.11    11.17     6.83
 -990.006   -987.062     1065.74      375.65      135.85      -17.62        1.74        9.82    19.03    11.30     6.79
 -987.062   -984.118     1097.56      382.45      110.98       14.20        8.54      -15.05    19.31    11.40     6.14
 -984.118   -981.174     1116.00      365.02      128.00       32.64       -8.89        1.97    19.47    11.13     6.59
 -981.174   -978.230     1074.97      370.87      136.19       -8.38       -3.04       10.16    19.11    11.22     6.80
 -978.230   -975.286     1075.29      387.55      117.11       -8.07       13.64       -8.92    19.11    11.47     6.31
 -975.286   -972.342     1092.44      384.15      129.03        9.09       10.24        3.00    19.26    11.42     6.62
 -972.342   -969.398     1082.38      362.63      132.08       -0.97      -11.28        6.05    19.17    11.10     6.70
 -969.398   -966.454     1065.31      374.58      138.89      -18.05        0.67       12.86    19.02    11.28     6.87
 -966.454   -963.510     1088.51      365.01      120.50        5.15       -8.90       -5.53    19.23    11.13     6.40
 -963.510   -960.566     1104.76      378.34      132.09       21.41        4.43        6.06    19.37    11.34     6.70
 -960.566   -957.622     1113.62      379.00      127.65       30.27        5.09        1.62    19.45    11.35     6.58
 -957.622   -954.678     1099.99      372.56      136.18       16.64       -1.35       10.15    19.33    11.25     6.80
 -954.678   -951.734     1082.45      375.26      129.36       -0.91        1.35        3.34    19.18    11.29     6.63
