  862.885 - KW trigger time, seconds UT.
  868.065 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
16.969 keV	71.657 keV - energy interval of channel G1.
71.657 keV	295.383 keV - energy interval of channel G2.
295.383 keV	1169.302 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -897.687   -894.743     1068.29      379.17      135.22        3.65        3.37       11.82    19.05    11.35     6.78
 -894.743   -891.799     1103.51      375.03      125.33       38.87       -0.76        1.93    19.36    11.29     6.53
 -891.799   -888.855     1055.21      369.58      125.00       -9.43       -6.21        1.59    18.93    11.20     6.52
 -888.855   -885.911     1068.54      377.76      114.09        3.90        1.97       -9.31    19.05    11.33     6.22
 -885.911   -882.967     1088.46      383.57      119.54       23.82        7.77       -3.87    19.23    11.41     6.37
 -882.967   -880.023     1092.78      363.05      115.44       28.14      -12.75       -7.96    19.27    11.11     6.26
 -880.023   -877.079     1055.29      396.90      137.26       -9.35       21.11       13.86    18.93    11.61     6.83
 -877.079   -874.135     1077.88      393.12      123.29       13.23       17.33       -0.12    19.13    11.56     6.47
 -874.135   -871.191     1063.04      350.45      133.17       -1.61      -25.35        9.76    19.00    10.91     6.73
 -871.191   -868.247     1055.91      380.49      132.48       -8.73        4.70        9.08    18.94    11.37     6.71
 -868.247   -865.303     1072.72      386.29      126.35        8.07       10.50        2.94    19.09    11.46     6.55
 -865.303   -862.359     1096.03      364.12      119.55       31.38      -11.68       -3.85    19.30    11.12     6.37
 -862.359   -859.415     1097.32      369.91      121.25       32.68       -5.88       -2.16    19.31    11.21     6.42
 -859.415   -856.471     1088.44      379.81      119.88       23.79        4.01       -3.53    19.23    11.36     6.38
 -856.471   -853.527     1064.83      389.73      131.46        0.19       13.94        8.06    19.02    11.51     6.68
 -853.527   -850.583     1084.32      385.94      124.64       19.68       10.15        1.24    19.19    11.45     6.51
 -850.583   -847.639     1054.45      386.60      120.21      -10.19       10.81       -3.20    18.93    11.46     6.39
 -847.639   -844.695     1085.02      381.51      123.28       20.38        5.71       -0.12    19.20    11.38     6.47
 -844.695   -841.751     1026.00      377.74      113.74      -38.65        1.95       -9.66    18.67    11.33     6.22
 -841.751   -838.807     1090.73      365.10      122.25       26.08      -10.70       -1.15    19.25    11.14     6.44
 -838.807   -835.863     1054.11      371.62      120.90      -10.53       -4.17       -2.50    18.92    11.23     6.41
 -835.863   -832.919     1076.06      376.38      125.66       11.41        0.58        2.26    19.12    11.31     6.53
 -832.919   -829.975     1068.23      369.25      126.36        3.59       -6.55        2.96    19.05    11.20     6.55
 -829.975   -827.031     1080.29      400.99      128.74       15.64       25.20        5.34    19.16    11.67     6.61
 -827.031   -824.087     1051.72      364.45      116.47      -12.92      -11.35       -6.93    18.90    11.13     6.29
 -824.087   -821.143     1056.22      366.17      128.07       -8.42       -9.62        4.66    18.94    11.15     6.60
 -821.143   -818.199     1071.25      372.28      134.52        6.60       -3.51       11.11    19.07    11.24     6.76
 -818.199   -815.255     1096.31      366.83      122.61       31.66       -8.96       -0.80    19.30    11.16     6.45
 -815.255   -812.311     1077.82      370.25      114.43       13.18       -5.54       -8.97    19.13    11.21     6.24
 -812.311   -809.367     1103.51      367.54      122.27       38.87       -8.26       -1.14    19.36    11.17     6.45
 -809.367   -806.423     1051.11      382.88      128.39      -13.53        7.09        4.99    18.89    11.40     6.60
 -806.423   -803.479     1066.18      393.45      119.87        1.54       17.66       -3.53    19.03    11.56     6.38
 -803.479   -800.535     1056.89      389.00      123.96       -7.75       13.20        0.55    18.95    11.49     6.49
 -800.535   -797.591     1067.24      393.47      120.22        2.60       17.68       -3.18    19.04    11.56     6.39
 -797.591   -794.647     1046.28      393.12      133.50      -18.36       17.32       10.10    18.85    11.56     6.73
 -794.647   -791.703     1093.85      369.87      122.59       29.21       -5.92       -0.81    19.28    11.21     6.45
 -791.703   -788.759     1072.59      378.07      113.06        7.95        2.27      -10.35    19.09    11.33     6.20
 -788.759   -785.815     1066.83      378.77      129.75        2.19        2.98        6.35    19.04    11.34     6.64
 -785.815   -782.871     1058.63      388.68      124.31       -6.02       12.89        0.90    18.96    11.49     6.50
 -782.871   -779.927     1028.70      363.74      123.61      -35.94      -12.05        0.21    18.69    11.12     6.48
 -779.927   -776.983     1081.27      378.44      122.61       16.63        2.65       -0.80    19.16    11.34     6.45
 -776.983   -774.039     1039.04      376.04      121.91      -25.60        0.24       -1.49    18.79    11.30     6.43
 -774.039   -771.095     1049.69      362.40      122.95      -14.95      -13.39       -0.46    18.88    11.10     6.46
