52837.845 - KW trigger time, seconds UT.
52843.371 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
16.738 keV	70.682 keV - energy interval of channel G1.
70.682 keV	291.365 keV - energy interval of channel G2.
291.365 keV	1153.398 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -998.624   -995.680     1073.31      378.76      116.13        7.76        1.65       -3.46    19.09    11.34     6.28
 -995.680   -992.736     1107.29      380.47      124.98       41.74        3.36        5.40    19.39    11.37     6.52
 -992.736   -989.792     1058.83      368.84      109.65       -6.73       -8.28       -9.94    18.96    11.19     6.10
 -989.792   -986.848     1015.71      377.38      125.32      -49.84        0.27        5.73    18.57    11.32     6.52
 -986.848   -983.904     1070.56      380.80      120.21        5.00        3.69        0.63    19.07    11.37     6.39
 -983.904   -980.960     1063.03      382.86      118.17       -2.52        5.75       -1.41    19.00    11.40     6.34
 -980.960   -978.016     1082.52      381.81      105.56       16.97        4.70      -14.02    19.18    11.39     5.99
 -978.016   -975.072     1043.08      358.28      120.89      -22.47      -18.83        1.31    18.82    11.03     6.41
 -975.072   -972.128     1095.21      371.61      128.39       29.66       -5.51        8.81    19.29    11.23     6.60
 -972.128   -969.184     1056.10      372.26      117.14       -9.45       -4.85       -2.44    18.94    11.24     6.31
 -969.184   -966.240     1065.40      385.23      121.57       -0.15        8.12        1.99    19.02    11.44     6.43
 -966.240   -963.296     1078.47      375.69      124.98       12.91       -1.42        5.40    19.14    11.30     6.52
 -963.296   -960.352     1095.61      370.61      123.64       30.06       -6.50        4.05    19.29    11.22     6.48
 -960.352   -957.408     1116.75      365.41      109.98       51.20      -11.70       -9.60    19.48    11.14     6.11
 -957.408   -954.464     1071.58      368.88      125.67        6.03       -8.23        6.09    19.08    11.19     6.53
 -954.464   -951.520     1101.00      378.05      119.52       35.45        0.94       -0.07    19.34    11.33     6.37
 -951.520   -948.576     1045.20      380.12      125.32      -20.35        3.01        5.74    18.84    11.36     6.52
 -948.576   -945.632     1040.63      365.08      119.52      -24.92      -12.04       -0.06    18.80    11.14     6.37
 -945.632   -942.688     1033.59      386.97      114.43      -31.96        9.85       -5.16    18.74    11.46     6.23
 -942.688   -939.744     1058.21      383.54      123.27       -7.35        6.42        3.69    18.96    11.41     6.47
 -939.744   -936.800     1054.10      376.72      126.68      -11.45       -0.40        7.10    18.92    11.31     6.56
 -936.800   -933.856     1071.88      378.40      119.52        6.33        1.28       -0.06    19.08    11.34     6.37
 -933.856   -930.912     1054.00      368.47      109.64      -11.56       -8.64       -9.95    18.92    11.19     6.10
 -930.912   -927.968     1078.42      374.31      118.17       12.87       -2.81       -1.42    19.14    11.28     6.33
 -927.968   -925.024     1081.21      385.94      113.40       15.66        8.82       -6.18    19.16    11.45     6.21
 -925.024   -922.080     1067.45      379.44      126.34        1.90        2.33        6.76    19.04    11.35     6.55
 -922.080   -919.136     1058.17      371.91      108.62       -7.39       -5.21      -10.96    18.96    11.24     6.07
 -919.136   -916.192     1095.00      408.12      124.98       29.44       31.00        5.39    19.29    11.77     6.51
 -916.192   -913.248     1065.44      378.09      135.54       -0.11        0.97       15.96    19.02    11.33     6.79
 -913.248   -910.304     1070.99      377.76      116.82        5.43        0.65       -2.76    19.07    11.33     6.30
 -910.304   -907.360     1039.06      388.34      119.54      -26.50       11.23       -0.05    18.79    11.48     6.37
 -907.360   -904.416       -0.00      382.14      107.26         nan        5.02      -12.33      nan    11.39     6.04
 -904.416   -901.472     1056.08      363.73      122.25       -9.47      -13.39        2.67    18.94    11.12     6.44
 -901.472   -898.528     1034.65      382.20      126.01      -30.90        5.08        6.43    18.75    11.39     6.54
 -898.528   -895.584     1078.80      373.99      119.53       13.24       -3.12       -0.05    19.14    11.27     6.37
 -895.584   -892.640     1046.92      381.50      123.62      -18.64        4.39        4.04    18.86    11.38     6.48
 -892.640   -889.696     1074.64      385.24      118.84        9.09        8.12       -0.74    19.11    11.44     6.35
 -889.696   -886.752     1065.71      364.41      116.80        0.16      -12.71       -2.79    19.03    11.13     6.30
 -886.752   -883.808     1065.44      366.84      125.00       -0.12      -10.27        5.41    19.02    11.16     6.52
 -883.808   -880.864     1047.55      376.70      117.82      -18.01       -0.41       -1.76    18.86    11.31     6.33
 -880.864   -877.920     1056.83      385.56      119.18       -8.72        8.45       -0.40    18.95    11.44     6.36
 -877.920   -874.976     1080.25      387.67      119.88       14.70       10.55        0.30    19.16    11.47     6.38
 -874.976   -872.032     1072.60      382.15      122.24        7.05        5.03        2.66    19.09    11.39     6.44
 -872.032   -869.088     1059.55      360.68      125.32       -6.00      -16.44        5.74    18.97    11.07     6.52
 -869.088   -866.144     1050.98      381.80      113.73      -14.57        4.68       -5.85    18.89    11.39     6.21
 -866.144   -863.200     1095.27      365.81      126.35       29.71      -11.30        6.77    19.29    11.15     6.55
 -863.200   -860.256     1085.31      379.44      116.12       19.76        2.32       -3.46    19.20    11.35     6.28
 -860.256   -857.312     1047.96      383.89      125.32      -17.59        6.78        5.74    18.87    11.42     6.52
 -857.312   -854.368     1066.15      384.57      128.73        0.60        7.46        9.14    19.03    11.43     6.61
 -854.368   -851.424     1067.43      369.19      122.93        1.88       -7.92        3.35    19.04    11.20     6.46
 -851.424   -848.480     1034.82      352.82      123.61      -30.73      -24.30        4.03    18.75    10.95     6.48
 -848.480   -845.536     1067.41      368.51      116.80        1.85       -8.60       -2.78    19.04    11.19     6.30
 -845.536   -842.592     1081.92      389.69      113.74       16.37       12.58       -5.84    19.17    11.51     6.22
 -842.592   -839.648     1075.65      363.74      124.64       10.09      -13.37        5.06    19.11    11.12     6.51
 -839.648   -836.704     1066.81      384.91      123.28        1.25        7.80        3.70    19.04    11.43     6.47
 -836.704   -833.760     1065.72      384.87      121.22        0.16        7.76        1.64    19.03    11.43     6.42
 -833.760   -830.816     1049.99      375.00      124.64      -15.57       -2.11        5.06    18.89    11.29     6.51
 -830.816   -827.872     1069.86      379.11      123.96        4.31        2.00        4.38    19.06    11.35     6.49
 -827.872   -824.928     1048.65      391.39      115.10      -16.90       14.28       -4.48    18.87    11.53     6.25
 -824.928   -821.984     1071.56      374.32      122.93        6.01       -2.79        3.35    19.08    11.28     6.46
 -821.984   -819.040     1096.57      374.99      122.25       31.01       -2.12        2.67    19.30    11.29     6.44
 -819.040   -816.096     1055.54      392.08      115.78      -10.01       14.97       -3.80    18.93    11.54     6.27
 -816.096   -813.152     1076.38      403.64      116.11       10.83       26.52       -3.48    19.12    11.71     6.28
 -813.152   -810.208     1060.67      396.17      129.75       -4.88       19.06       10.16    18.98    11.60     6.64
 -810.208   -807.264     1059.89      395.45      121.22       -5.67       18.34        1.63    18.97    11.59     6.42
 -807.264   -804.320     1045.45      363.03      113.73      -20.10      -14.08       -5.85    18.84    11.11     6.21
 -804.320   -801.376     1092.39      355.86      112.03       26.83      -21.25       -7.56    19.26    10.99     6.17
 -801.376   -798.432     1059.29      380.48      117.83       -6.26        3.37       -1.75    18.97    11.37     6.33
 -798.432   -795.488     1068.18      387.63      114.42        2.63       10.52       -5.16    19.05    11.47     6.23
 -795.488   -792.544     1035.60      384.89      124.97      -29.95        7.78        5.39    18.75    11.43     6.51
 -792.544   -789.600     1054.44      378.76      119.87      -11.11        1.65        0.29    18.93    11.34     6.38
 -789.600   -786.656     1040.69      359.30      125.32      -24.86      -17.81        5.74    18.80    11.05     6.52
 -786.656   -783.712     1068.51      398.19      115.43        2.96       21.08       -4.15    19.05    11.63     6.26
 -783.712   -780.768     1058.88      378.40      120.20       -6.67        1.29        0.62    18.96    11.34     6.39
 -780.768   -777.824     1082.51      363.74      119.87       16.96      -13.38        0.29    19.18    11.12     6.38
 -777.824   -774.880     1055.40      351.42      112.71      -10.15      -25.69       -6.87    18.93    10.93     6.19
 -774.880   -771.936     1079.88      397.20      122.26       14.33       20.09        2.67    19.15    11.62     6.44
 -771.936   -768.992     1057.23      381.85      131.11       -8.32        4.74       11.53    18.95    11.39     6.67
 -768.992   -766.048     1058.57      385.91      118.16       -6.99        8.79       -1.43    18.96    11.45     6.33
 -766.048   -763.104     1056.50      367.50      121.23       -9.05       -9.61        1.65    18.94    11.17     6.42
 -763.104   -760.160     1049.28      360.67      122.94      -16.28      -16.44        3.36    18.88    11.07     6.46
 -760.160   -757.216     1046.80      354.16      111.01      -18.76      -22.95       -8.57    18.86    10.97     6.14
 -757.216   -754.272     1095.95      369.90      115.45       30.40       -7.21       -4.13    19.29    11.21     6.26
 -754.272   -751.328     1083.60      377.05      123.95       18.05       -0.07        4.37    19.18    11.32     6.49
 -751.328   -748.384     1062.36      366.82      120.90       -3.20      -10.29        1.31    19.00    11.16     6.41
 -748.384   -745.440     1076.50      396.18      130.77       10.95       19.07       11.19    19.12    11.60     6.67
 -745.440   -742.496     1057.66      401.32      118.18       -7.89       24.21       -1.40    18.95    11.68     6.34
 -742.496   -739.552     1058.19      375.33      119.86       -7.36       -1.78        0.28    18.96    11.29     6.38
 -739.552   -736.608     1057.84      371.25      127.70       -7.71       -5.86        8.12    18.96    11.23     6.59
 -736.608   -733.664     1029.81      397.53      117.14      -35.75       20.41       -2.44    18.70    11.62     6.31
 -733.664   -730.720     1057.43      368.15      123.95       -8.13       -8.96        4.37    18.95    11.18     6.49
 -730.720   -727.776     1065.77      382.84      130.08        0.21        5.73       10.50    19.03    11.40     6.65
 -727.776   -724.832     1034.52      367.49      131.11      -31.03       -9.62       11.53    18.75    11.17     6.67
 -724.832   -721.888     1058.20      367.50      115.45       -7.35       -9.61       -4.13    18.96    11.17     6.26
 -721.888   -718.944     1085.71      379.45      123.62       20.15        2.34        4.04    19.20    11.35     6.48
 -718.944   -716.000     1058.95      379.80      128.39       -6.60        2.68        8.80    18.97    11.36     6.60
 -716.000   -713.056     1060.92      382.83      116.45       -4.63        5.72       -3.13    18.98    11.40     6.29
 -713.056   -710.112     1036.29      382.50      116.80      -29.26        5.39       -2.79    18.76    11.40     6.30
 -710.112   -707.168     1067.87      398.90      116.80        2.32       21.79       -2.78    19.05    11.64     6.30
 -707.168   -704.224     1075.37      386.61      124.30        9.82        9.49        4.71    19.11    11.46     6.50
 -704.224   -701.280     1050.64      366.12      115.44      -14.91      -10.99       -4.14    18.89    11.15     6.26
 -701.280   -698.336     1098.97      384.88      107.94       33.42        7.76      -11.64    19.32    11.43     6.05
 -698.336   -695.392     1081.21      384.89      112.03       15.65        7.78       -7.55    19.16    11.43     6.17
 -695.392   -692.448     1068.90      377.07      122.60        3.35       -0.04        3.02    19.05    11.32     6.45
 -692.448   -689.504     1099.34      376.36      113.40       33.78       -0.76       -6.18    19.32    11.31     6.21
 -689.504   -686.560     1022.62      392.09      105.57      -42.93       14.98      -14.02    18.64    11.54     5.99
 -686.560   -683.616     1050.59      361.67      117.48      -14.96      -15.44       -2.10    18.89    11.08     6.32
 -683.616   -680.672     1077.29      369.51      118.83       11.74       -7.60       -0.75    19.13    11.20     6.35
 -680.672   -677.728     1079.02      348.69      114.75       13.46      -28.42       -4.83    19.14    10.88     6.24
 -677.728   -674.784     1069.17      372.60      118.16        3.62       -4.51       -1.42    19.06    11.25     6.33
 -674.784   -671.840     1037.69      372.64      120.90      -27.87       -4.47        1.32    18.77    11.25     6.41
 -671.840   -668.896     1078.38      362.70      108.97       12.83      -14.42      -10.62    19.14    11.10     6.08
 -668.896   -665.952     1064.36      357.95      120.22       -1.20      -19.16        0.64    19.01    11.03     6.39
 -665.952   -663.008     1083.96      404.01      121.56       18.41       26.90        1.98    19.19    11.71     6.43
 -663.008   -660.064     1104.56      389.70      121.58       39.01       12.59        2.00    19.37    11.51     6.43
 -660.064   -657.120     1078.48      380.82      118.17       12.93        3.71       -1.41    19.14    11.37     6.34
 -657.120   -654.176     1071.53      383.84      121.90        5.98        6.73        2.32    19.08    11.42     6.43
 -654.176   -651.232     1040.04      356.94      120.90      -25.51      -20.18        1.32    18.80    11.01     6.41
 -651.232   -648.288     1037.54      358.93      110.67      -28.01      -18.18       -8.92    18.77    11.04     6.13
 -648.288   -645.344     1091.78      391.02      107.60       26.23       13.90      -11.98    19.26    11.53     6.05
 -645.344   -642.400     1030.80      384.55      126.00      -34.76        7.44        6.41    18.71    11.43     6.54
 -642.400   -639.456     1095.52      380.44      114.75       29.96        3.32       -4.83    19.29    11.37     6.24
 -639.456   -636.512     1053.77      370.24      124.30      -11.78       -6.88        4.72    18.92    11.21     6.50
 -636.512   -633.568     1055.55      390.38      118.17      -10.00       13.27       -1.41    18.93    11.52     6.34
 -633.568   -630.624     1062.61      359.64      123.61       -2.94      -17.48        4.03    19.00    11.05     6.48
 -630.624   -627.680     1080.39      370.87      117.81       14.83       -6.24       -1.77    19.16    11.22     6.33
 -627.680   -624.736     1089.70      358.63      131.45       24.15      -18.48       11.87    19.24    11.04     6.68
 -624.736   -621.792     1079.05      372.25      113.39       13.50       -4.86       -6.20    19.14    11.24     6.21
 -621.792   -618.848     1089.02      378.05      124.63       23.47        0.94        5.05    19.23    11.33     6.51
 -618.848   -615.904     1045.89      390.03      117.48      -19.67       12.91       -2.10    18.85    11.51     6.32
 -615.904   -612.960     1052.68      368.50      115.44      -12.88       -8.61       -4.14    18.91    11.19     6.26
 -612.960   -610.016     1045.59      377.07      114.77      -19.96       -0.04       -4.81    18.85    11.32     6.24
 -610.016   -607.072     1057.09      375.30      116.79       -8.46       -1.81       -2.79    18.95    11.29     6.30
 -607.072   -604.128     1094.98      379.13      125.33       29.43        2.02        5.75    19.29    11.35     6.53
 -604.128   -601.184     1055.83      368.53      122.26       -9.72       -8.58        2.68    18.94    11.19     6.44
 -601.184   -598.240     1053.47      375.37      121.58      -12.09       -1.75        2.00    18.92    11.29     6.43
 -598.240   -595.296     1077.37      365.45      121.57       11.82      -11.66        1.99    19.13    11.14     6.43
 -595.296   -592.352     1100.31      364.06      116.11       34.76      -13.06       -3.47    19.33    11.12     6.28
 -592.352   -589.408     1079.82      369.55      120.55       14.26       -7.56        0.97    19.15    11.20     6.40
 -589.408   -586.464     1056.20      400.93      114.75       -9.36       23.82       -4.83    18.94    11.67     6.24
 -586.464   -583.520     1082.14      381.09      118.49       16.58        3.98       -1.10    19.17    11.38     6.34
 -583.520   -580.576     1040.65      366.46      113.39      -24.90      -10.66       -6.19    18.80    11.16     6.21
 -580.576   -577.632     1097.00      390.02      119.53       31.45       12.90       -0.06    19.30    11.51     6.37
 -577.632   -574.688     1085.63      371.57      114.75       20.08       -5.54       -4.83    19.20    11.23     6.24
 -574.688   -571.744     1092.58      400.27      122.26       27.02       23.16        2.67    19.26    11.66     6.44
 -571.744   -568.800     1084.63      381.81      115.44       19.08        4.70       -4.14    19.19    11.39     6.26
 -568.800   -565.856     1060.54      371.91      117.14       -5.02       -5.20       -2.45    18.98    11.24     6.31
 -565.856   -562.912     1071.52      368.84      116.46        5.97       -8.27       -3.12    19.08    11.19     6.29
 -562.912   -559.968     1053.14      383.22      116.13      -12.41        6.10       -3.45    18.91    11.41     6.28
 -559.968   -557.024     1040.43      381.51      125.67      -25.13        4.40        6.08    18.80    11.38     6.53
 -557.024   -554.080     1077.40      377.38      131.79       11.85        0.27       12.20    19.13    11.32     6.69
 -554.080   -551.136     1065.00      368.15      114.07       -0.56       -8.96       -5.51    19.02    11.18     6.22
 -551.136   -548.192     1028.76      392.77      130.77      -36.79       15.66       11.19    18.69    11.55     6.67
 -548.192   -545.248     1083.24      360.34      121.92       17.68      -16.78        2.34    19.18    11.06     6.43
 -545.248   -542.304     1088.51      400.98      124.31       22.95       23.86        4.72    19.23    11.67     6.50
 -542.304   -539.360     1090.42      390.01      124.97       24.86       12.89        5.39    19.25    11.51     6.51
 -539.360   -536.416     1076.71      393.77      108.63       11.16       16.66      -10.95    19.12    11.56     6.07
 -536.416   -533.472     1091.12      362.06      127.03       25.57      -15.06        7.45    19.25    11.09     6.57
 -533.472   -530.528     1091.80      372.94      118.16       26.24       -4.17       -1.42    19.26    11.26     6.33
 -530.528   -527.584     1058.88      365.09      116.12       -6.67      -12.02       -3.46    18.96    11.14     6.28
 -527.584   -524.640     1069.13      374.98      121.22        3.58       -2.13        1.64    19.06    11.29     6.42
 -524.640   -521.696     1060.28      395.46      121.56       -5.28       18.35        1.98    18.98    11.59     6.43
 -521.696   -518.752     1081.58      375.71      128.74       16.03       -1.40        9.15    19.17    11.30     6.61
 -518.752   -515.808     1060.53      365.09      116.46       -5.03      -12.02       -3.12    18.98    11.14     6.29
 -515.808   -512.864     1064.04      369.89      125.32       -1.52       -7.22        5.74    19.01    11.21     6.52
 -512.864   -509.920     1017.39      373.30      116.46      -48.16       -3.82       -3.12    18.59    11.26     6.29
 -509.920   -506.976     1080.27      395.18      119.20       14.71       18.07       -0.38    19.16    11.59     6.36
 -506.976   -504.032     1062.66      359.99      120.90       -2.89      -17.12        1.31    19.00    11.06     6.41
 -504.032   -501.088     1075.47      393.81      122.94        9.92       16.70        3.36    19.11    11.57     6.46
 -501.088   -498.144     1039.78      399.58      116.46      -25.77       22.47       -3.12    18.79    11.65     6.29
 -498.144   -495.200     1096.62      368.18      129.41       31.07       -8.93        9.83    19.30    11.18     6.63
 -495.200   -492.256     1076.09      387.29      127.02       10.54       10.18        7.44    19.12    11.47     6.57
 -492.256   -489.312     1066.02      369.51      112.36        0.47       -7.61       -7.22    19.03    11.20     6.18
 -489.312   -486.368     1084.05      399.60      128.73       18.50       22.49        9.15    19.19    11.65     6.61
 -486.368   -483.424     1068.50      373.96      116.12        2.94       -3.15       -3.46    19.05    11.27     6.28
 -483.424   -480.480     1062.69      388.64      111.35       -2.86       11.53       -8.23    19.00    11.49     6.15
 -480.480   -477.536     1060.66      383.20      121.91       -4.89        6.09        2.33    18.98    11.41     6.43
 -477.536   -474.592     1048.70      384.59      124.99      -16.85        7.48        5.40    18.87    11.43     6.52
 -474.592   -471.648     1051.31      374.29      107.60      -14.24       -2.82      -11.98    18.90    11.28     6.05
 -471.648   -468.704     1065.40      362.71      122.93       -0.15      -14.40        3.35    19.02    11.10     6.46
 -468.704   -465.760     1072.64      360.69      120.22        7.09      -16.43        0.64    19.09    11.07     6.39
 -465.760   -462.816     1084.22      364.76      117.83       18.67      -12.35       -1.76    19.19    11.13     6.33
 -462.816   -459.872     1058.63      373.66      120.56       -6.92       -3.45        0.98    18.96    11.27     6.40
 -459.872   -456.928     1073.32      376.38      119.19        7.77       -0.73       -0.39    19.09    11.31     6.36
 -456.928   -453.984     1068.83      364.09      123.28        3.27      -13.02        3.70    19.05    11.12     6.47
 -453.984   -451.040     1092.86      372.28      117.83       27.30       -4.84       -1.76    19.27    11.24     6.33
 -451.040   -448.096     1082.91      379.43      106.24       17.36        2.31      -13.34    19.18    11.35     6.01
 -448.096   -445.152     1070.52      370.57      126.00        4.97       -6.55        6.42    19.07    11.22     6.54
 -445.152   -442.208     1039.95      355.18      112.71      -25.61      -21.93       -6.88    18.80    10.98     6.19
 -442.208   -439.264     1077.35      366.11      114.42       11.80      -11.01       -5.17    19.13    11.15     6.23
 -439.264   -436.320     1082.56      383.18      114.42       17.00        6.07       -5.17    19.18    11.41     6.23
 -436.320   -433.376     1046.58      354.55      130.10      -18.97      -22.57       10.52    18.86    10.97     6.65
 -433.376   -430.432     1067.90      408.47      120.89        2.34       31.36        1.31    19.05    11.78     6.41
 -430.432   -427.488     1039.36      377.41      118.51      -26.19        0.30       -1.07    18.79    11.32     6.34
 -427.488   -424.544     1057.49      359.98      127.70       -8.06      -17.13        8.12    18.95    11.06     6.59
 -424.544   -421.600     1058.86      392.04      119.17       -6.70       14.92       -0.41    18.96    11.54     6.36
 -421.600   -418.656     1069.85      367.82      119.86        4.30       -9.29        0.28    19.06    11.18     6.38
 -418.656   -415.712     1070.28      393.46      122.60        4.72       16.35        3.02    19.07    11.56     6.45
 -415.712   -412.768     1018.10      365.45      113.06      -47.45      -11.67       -6.53    18.60    11.14     6.20
 -412.768   -409.824     1086.08      394.84      124.65       20.52       17.72        5.07    19.21    11.58     6.51
 -409.824   -406.880     1086.07      411.18      114.76       20.52       34.07       -4.83    19.21    11.82     6.24
 -406.880   -403.936     1053.68      365.44      120.21      -11.87      -11.67        0.63    18.92    11.14     6.39
 -403.936   -400.992     1058.59      380.13      117.83       -6.96        3.01       -1.76    18.96    11.36     6.33
 -400.992   -398.048     1046.89      364.79      126.69      -18.66      -12.32        7.11    18.86    11.13     6.56
 -398.048   -395.104     1081.51      385.22      121.56       15.95        8.11        1.98    19.17    11.44     6.43
 -395.104   -392.160     1007.44      383.51      114.41      -58.11        6.39       -5.17    18.50    11.41     6.23
 -392.160   -389.216     1037.88      380.07      110.65      -27.67        2.96       -8.93    18.78    11.36     6.13
 -389.216   -386.272     1043.09      354.20      123.28      -22.46      -22.91        3.70    18.82    10.97     6.47
 -386.272   -383.328     1083.94      394.79      123.95       18.39       17.68        4.37    19.19    11.58     6.49
 -383.328   -380.384     1079.77      365.11      114.42       14.22      -12.01       -5.16    19.15    11.14     6.23
 -380.384   -377.440     1066.06      374.65      131.10        0.50       -2.46       11.52    19.03    11.28     6.67
 -377.440   -374.496     1082.16      379.76      118.50       16.60        2.64       -1.09    19.17    11.36     6.34
 -374.496   -371.552     1081.53      379.46      134.18       15.98        2.35       14.60    19.17    11.35     6.75
