#,trigger date,trigger time (t_0),class,goes t_begin,goes t_max,goes t_end,kw-sun,light curve
645,2005-01-01,00:27:37.406 (1657.406),X1.7,00:01,00:31,00:39,http://www.ioffe.ru/LEA/kwsun/2005/20050101_01657.html,https://www.ioffe.ru/LEA/Solar/2SOL20050101T01657.pdf
646,2005-01-14,10:19:16.188 (37156.188),C8.9,10:08,10:20,10:26,http://www.ioffe.ru/LEA/kwsun/2005/20050114_37156.html,https://www.ioffe.ru/LEA/Solar/2SOL20050114T37156.pdf
647,2005-01-14,13:57:19.290 (50239.290),M1.8,13:53,14:11,14:45,http://www.ioffe.ru/LEA/kwsun/2005/20050114_50239.html,https://www.ioffe.ru/LEA/Solar/2SOL20050114T50239.pdf
648,2005-01-15,00:38:57.234 (2337.234),X1.2,00:22,00:43,01:02,http://www.ioffe.ru/LEA/kwsun/2005/20050115_02337.html,https://www.ioffe.ru/LEA/Solar/2SOL20050115T02337.pdf
649,2005-01-15,04:28:43.804 (16123.804),M8.4,04:26,04:31,04:36,http://www.ioffe.ru/LEA/kwsun/2005/20050115_16123.html,https://www.ioffe.ru/LEA/Solar/2SOL20050115T16123.pdf
650,2005-01-15,19:47:26.532 (71246.532),C3.5,19:44,19:49,19:54,http://www.ioffe.ru/LEA/kwsun/2005/20050115_71246.html,https://www.ioffe.ru/LEA/Solar/2SOL20050115T71246.pdf
651,2005-01-15,22:32:43.160 (81163.160),X2.6,22:25,23:02,23:31,http://www.ioffe.ru/LEA/kwsun/2005/20050115_81163.html,https://www.ioffe.ru/LEA/Solar/2SOL20050115T81163.pdf
652,2005-01-17,09:42:50.553 (34970.553),X3.8,06:59,09:52,10:07,http://www.ioffe.ru/LEA/kwsun/2005/20050117_34970.html,https://www.ioffe.ru/LEA/Solar/2SOL20050117T34970.pdf
653,2005-03-20,11:51:38.308 (42698.308),C2.1,11:42,11:52,11:54,http://www.ioffe.ru/LEA/kwsun/2005/20050320_42698.html,https://www.ioffe.ru/LEA/Solar/2SOL20050320T42698.pdf
654,2005-05-05,20:13:50.849 (72830.849),C7.8,20:09,20:20,20:27,http://www.ioffe.ru/LEA/kwsun/2005/20050505_72830.html,https://www.ioffe.ru/LEA/Solar/2SOL20050505T72830.pdf
655,2005-05-06,03:07:39.347 (11259.347),C9.3,03:05,03:14,03:21,http://www.ioffe.ru/LEA/kwsun/2005/20050506_11259.html,https://www.ioffe.ru/LEA/Solar/2SOL20050506T11259.pdf
656,2005-05-06,11:22:54.056 (40974.056),M1.3,11:11,11:28,11:35,http://www.ioffe.ru/LEA/kwsun/2005/20050506_40974.html,https://www.ioffe.ru/LEA/Solar/2SOL20050506T40974.pdf
657,2005-05-13,16:41:36.940 (60096.940),M8.0,16:13,16:57,17:28,http://www.ioffe.ru/LEA/kwsun/2005/20050513_60096.html,https://www.ioffe.ru/LEA/Solar/2SOL20050513T60096.pdf
658,2005-06-01,22:10:07.128 (79807.128),C7.2,22:03,22:18,22:25,http://www.ioffe.ru/LEA/kwsun/2005/20050601_79807.html,https://www.ioffe.ru/LEA/Solar/2SOL20050601T79807.pdf
