26546.308 - KW trigger time, seconds UT.
26551.937 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
16.859 keV	71.193 keV - energy interval of channel G1.
71.193 keV	293.470 keV - energy interval of channel G2.
293.470 keV	1161.729 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -820.753   -817.809     1433.85      583.32      248.56       20.49       -7.80        4.77    22.07    14.08     9.19
 -817.809   -814.865     1393.57      612.37      247.16      -19.79       21.24        3.37    21.76    14.42     9.16
 -814.865   -811.921     1443.08      593.59      259.14       29.73        2.46       15.35    22.14    14.20     9.38
 -811.921   -808.977     1413.30      576.03      220.86       -0.06      -15.10      -22.93    21.91    13.99     8.66
 -808.977   -806.033     1415.01      591.22      241.06        1.65        0.09       -2.73    21.92    14.17     9.05
 -806.033   -803.089     1388.23      578.78      239.30      -25.13      -12.35       -4.48    21.71    14.02     9.02
 -803.089   -800.145     1423.72      590.78      238.28       10.37       -0.35       -5.51    21.99    14.17     9.00
 -800.145   -797.201     1366.68      605.52      249.21      -46.67       14.39        5.42    21.55    14.34     9.20
 -797.201   -794.257     1430.26      568.22      254.35       16.90      -22.91       10.56    22.04    13.89     9.29
 -794.257   -791.313     1406.53      604.14      243.04       -6.83       13.01       -0.74    21.86    14.32     9.09
 -791.313   -788.369     1384.20      599.01      242.38      -29.15        7.88       -1.41    21.68    14.26     9.07
 -788.369   -785.425     1427.29      610.65      245.78       13.93       19.52        2.00    22.02    14.40     9.14
 -785.425   -782.481     1449.41      596.20      239.27       36.06        5.07       -4.52    22.19    14.23     9.02
 -782.481   -779.537     1381.73      589.45      256.05      -31.62       -1.68       12.26    21.66    14.15     9.33
 -779.537   -776.593     1452.11      606.25      248.55       38.75       15.13        4.76    22.21    14.35     9.19
 -776.593   -773.649     1485.79      590.82      256.74       72.44       -0.31       12.96    22.46    14.17     9.34
 -773.649   -770.705     1455.70      558.65      258.80       42.34      -32.48       15.01    22.24    13.78     9.38
 -770.705   -767.761     1403.15      603.84      239.66      -10.21       12.71       -4.13    21.83    14.32     9.02
 -767.761   -764.817     1389.64      581.22      241.02      -23.72       -9.91       -2.77    21.73    14.05     9.05
 -764.817   -761.873     1446.19      618.53      242.02       32.83       27.40       -1.77    22.16    14.49     9.07
 -761.873   -758.929     1431.05      569.27      259.48       17.69      -21.86       15.69    22.05    13.91     9.39
 -758.929   -755.985     1418.10      631.27      253.32        4.75       40.15        9.53    21.95    14.64     9.28
 -755.985   -753.041     1428.60      581.56      249.55       15.25       -9.57        5.77    22.03    14.05     9.21
 -753.041   -750.097     1416.83      588.74      247.84        3.47       -2.40        4.05    21.94    14.14     9.18
 -750.097   -747.153     1433.75      608.61      249.89       20.40       17.48        6.10    22.07    14.38     9.21
 -747.153   -744.209     1420.56      583.57      250.55        7.20       -7.56        6.76    21.97    14.08     9.22
 -744.209   -741.265     1395.34      572.58      240.31      -18.01      -18.54       -3.48    21.77    13.95     9.04
 -741.265   -738.321     1432.46      613.08      248.18       19.11       21.96        4.39    22.06    14.43     9.18
 -738.321   -735.377     1404.76      585.32      248.87       -8.60       -5.80        5.08    21.84    14.10     9.19
 -735.377   -732.433     1396.25      588.77      252.64      -17.10       -2.36        8.86    21.78    14.14     9.26
 -732.433   -729.489     1402.77      602.09      237.59      -10.59       10.97       -6.20    21.83    14.30     8.98
 -729.489   -726.545     1429.97      606.87      249.19       16.62       15.74        5.40    22.04    14.36     9.20
 -726.545   -723.601     1409.97      609.95      229.05       -3.39       18.82      -14.74    21.88    14.39     8.82
 -723.601   -720.657     1431.10      619.94      249.90       17.74       28.82        6.11    22.05    14.51     9.21
