 6585.858 - KW trigger time, seconds UT.
 6585.065 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
15.144 keV	63.950 keV - energy interval of channel G1.
63.950 keV	264.807 keV - energy interval of channel G2.
264.807 keV	1082.968 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -998.209   -995.265     1058.31      417.49      162.47        3.12       -1.09        9.72    18.96    11.91     7.43
 -995.265   -992.321     1048.04      422.61      159.75       -7.16        4.03        7.00    18.87    11.98     7.37
 -992.321   -989.377     1034.97      414.05      153.60      -20.23       -4.54        0.85    18.75    11.86     7.22
 -989.377   -986.433     1080.62      413.40      157.03       25.43       -5.18        4.28    19.16    11.85     7.30
 -986.433   -983.489     1040.10      406.56      160.77      -15.10      -12.02        8.02    18.80    11.75     7.39
 -983.489   -980.545     1100.93      429.80      159.42       45.74       11.22        6.66    19.34    12.08     7.36
 -980.545   -977.601     1033.91      408.90      153.94      -21.29       -9.68        1.19    18.74    11.79     7.23
 -977.601   -974.657     1044.87      415.05      155.64      -10.32       -3.53        2.89    18.84    11.87     7.27
 -974.657   -971.713     1045.62      422.94      154.29       -9.58        4.36        1.54    18.85    11.99     7.24
 -971.713   -968.769     1076.81      423.96      156.68       21.62        5.38        3.93    19.12    12.00     7.29
 -968.769   -965.825     1066.90      430.12      149.52       11.70       11.54       -3.23    19.04    12.09     7.13
 -965.825   -962.881     1074.04      421.90      149.52       18.85        3.32       -3.23    19.10    11.97     7.13
 -962.881   -959.937     1097.09      421.93      156.34       41.89        3.35        3.59    19.30    11.97     7.29
 -959.937   -956.993     1079.46      427.35      143.38       24.27        8.77       -9.37    19.15    12.05     6.98
 -956.993   -954.049     1097.05      429.08      151.56       41.85       10.51       -1.19    19.30    12.07     7.17
 -954.049   -951.105     1043.88      434.54      154.62      -11.31       15.96        1.87    18.83    12.15     7.25
 -951.105   -948.161     1031.53      438.96      142.01      -23.66       20.38      -10.74    18.72    12.21     6.95
 -948.161   -945.217     1017.37      403.11      148.49      -37.82      -15.47       -4.26    18.59    11.70     7.10
 -945.217   -942.273     1010.98      424.99      160.76      -44.22        6.41        8.01    18.53    12.02     7.39
 -942.273   -939.329     1041.09      420.50      152.23      -14.11        1.93       -0.52    18.80    11.95     7.19
 -939.329   -936.385     1041.88      426.05      154.65      -13.31        7.47        1.90    18.81    12.03     7.25
 -936.385   -933.441     1039.73      430.77      147.47      -15.46       12.19       -5.28    18.79    12.10     7.08
 -933.441   -930.497     1064.46      403.81      157.70        9.27      -14.77        4.95    19.02    11.71     7.32
 -930.497   -927.553     1036.72      426.34      164.16      -18.47        7.75       11.41    18.77    12.03     7.47
 -927.553   -924.609     1057.55      409.61      150.54        2.36       -8.97       -2.21    18.95    11.80     7.15
 -924.609   -921.665     1071.68      428.06      146.46       16.49        9.48       -6.29    19.08    12.06     7.05
 -921.665   -918.721     1045.93      422.26      155.31       -9.26        3.67        2.56    18.85    11.98     7.26
 -918.721   -915.777     1022.68      427.05      159.06      -32.52        8.46        6.31    18.64    12.04     7.35
 -915.777   -912.833     1027.08      417.81      142.71      -28.12       -0.77      -10.04    18.68    11.91     6.96
 -912.833   -909.889     1071.03      445.15      153.95       15.84       26.57        1.20    19.07    12.30     7.23
 -909.889   -906.945     1049.37      414.40      152.93       -5.82       -4.18        0.18    18.88    11.86     7.21
 -906.945   -904.001     1043.87      437.24      138.94      -11.32       18.66      -13.81    18.83    12.19     6.87
 -904.001   -901.057     1073.77      422.96      154.30       18.58        4.38        1.55    19.10    11.99     7.24
 -901.057   -898.113     1053.15      424.31      154.97       -2.04        5.73        2.22    18.91    12.01     7.25
 -898.113   -895.169     1051.34      404.46      139.97       -3.85      -14.12      -12.78    18.90    11.72     6.89
 -895.169   -892.225     1046.67      414.75      169.28       -8.52       -3.83       16.53    18.86    11.87     7.58
 -892.225   -889.281     1087.74      412.69      156.34       32.54       -5.89        3.58    19.22    11.84     7.29
 -889.281   -886.337     1063.78      426.70      149.19        8.59        8.12       -3.56    19.01    12.04     7.12
 -886.337   -883.393     1039.06      419.17      159.06      -16.14        0.59        6.31    18.79    11.93     7.35
 -883.393   -880.449     1055.27      432.16      151.91        0.08       13.58       -0.85    18.93    12.12     7.18
 -880.449   -877.505     1044.47      406.84      145.08      -10.72      -11.74       -7.68    18.84    11.76     7.02
 -877.505   -874.561     1077.08      396.99      149.19       21.89      -21.59       -3.57    19.13    11.61     7.12
 -874.561   -871.617     1047.71      428.42      158.72       -7.49        9.84        5.97    18.86    12.06     7.34
 -871.617   -868.673     1077.90      441.40      152.59       22.71       22.82       -0.16    19.14    12.24     7.20
 -868.673   -865.729     1038.35      412.69      152.59      -16.84       -5.90       -0.17    18.78    11.84     7.20
 -865.729   -862.785     1076.85      416.47      149.87       21.65       -2.11       -2.88    19.12    11.89     7.13
 -862.785   -859.841     1078.05      407.20      145.43       22.86      -11.38       -7.33    19.14    11.76     7.03
 -859.841   -856.897     1081.22      416.76      146.78       26.03       -1.82       -5.97    19.16    11.90     7.06
