69087.126 - KW trigger time, seconds UT.
69086.409 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
15.303 keV	64.620 keV - energy interval of channel G1.
64.620 keV	267.585 keV - energy interval of channel G2.
267.585 keV	1094.327 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -999.971   -997.027     1017.77      403.13      143.40      -16.00      -19.28      -12.62    18.59    11.70     6.98
 -997.027   -994.083     1031.37      434.29      161.82       -2.41       11.88        5.81    18.72    12.15     7.41
 -994.083   -991.139     1056.01      423.68      165.56       22.23        1.27        9.55    18.94    12.00     7.50
 -991.139   -988.195     1047.71      420.60      145.11       13.94       -1.82      -10.90    18.86    11.95     7.02
 -988.195   -985.251     1031.36      427.13      152.63       -2.41        4.72       -3.37    18.72    12.04     7.20
 -985.251   -982.307     1047.04      417.19      157.05       13.27       -5.22        1.04    18.86    11.90     7.30
 -982.307   -979.363     1040.08      430.11      140.32        6.30        7.69      -15.68    18.80    12.09     6.90
 -979.363   -976.419     1037.45      424.67      154.98        3.67        2.26       -1.03    18.77    12.01     7.26
 -976.419   -973.475     1045.68      424.68      150.56       11.91        2.26       -5.45    18.85    12.01     7.15
 -973.475   -970.531      996.61      427.75      144.08      -37.16        5.34      -11.93    18.40    12.05     7.00
 -970.531   -967.587      999.02      417.18      172.71      -34.75       -5.23       16.70    18.42    11.90     7.66
 -967.587   -964.643     1062.77      412.73      147.84       29.00       -9.68       -8.17    19.00    11.84     7.09
 -964.643   -961.699     1027.82      429.47      158.40       -5.95        7.06        2.39    18.68    12.08     7.33
 -961.699   -958.755     1004.52      436.27      149.53      -29.26       13.86       -6.48    18.47    12.17     7.13
 -958.755   -955.811     1039.47      405.90      157.04        5.70      -16.51        1.03    18.79    11.74     7.30
 -955.811   -952.867     1037.42      421.94      157.03        3.65       -0.47        1.02    18.77    11.97     7.30
 -952.867   -949.923     1005.28      428.48      158.76      -28.50        6.06        2.75    18.48    12.06     7.34
 -949.923   -946.979     1023.65      403.16      145.11      -10.13      -19.26      -10.90    18.65    11.70     7.02
 -946.979   -944.035     1025.88      428.14      155.69       -7.89        5.73       -0.32    18.67    12.06     7.27
 -944.035   -941.091     1020.56      417.14      153.28      -13.21       -5.28       -2.73    18.62    11.90     7.21
 -941.091   -938.147     1047.74      412.75      143.42       13.97       -9.66      -12.59    18.86    11.84     6.98
 -938.147   -935.203     1077.91      430.81      148.85       44.14        8.40       -7.16    19.14    12.10     7.11
 -935.203   -932.259     1027.11      426.37      156.00       -6.66        3.96       -0.01    18.68    12.03     7.28
 -932.259   -929.315     1006.28      413.44      166.25      -27.50       -8.97       10.24    18.49    11.85     7.51
 -929.315   -926.371     1040.85      421.92      153.96        7.08       -0.49       -2.04    18.80    11.97     7.23
 -926.371   -923.427     1019.67      427.11      157.73      -14.10        4.70        1.73    18.61    12.04     7.32
 -923.427   -920.483     1021.61      401.13      170.33      -12.16      -21.28       14.32    18.63    11.67     7.61
 -920.483   -917.539     1030.90      405.91      157.38       -2.88      -16.50        1.38    18.71    11.74     7.31
 -917.539   -914.595     1020.61      417.51      165.55      -13.16       -4.90        9.54    18.62    11.91     7.50
 -914.595   -911.651     1016.57      449.96      157.03      -17.21       27.55        1.02    18.58    12.36     7.30
 -911.651   -908.707     1029.25      438.03      161.13       -4.52       15.62        5.12    18.70    12.20     7.40
 -908.707   -905.763     1036.07      426.04      157.71        2.30        3.63        1.70    18.76    12.03     7.32
 -905.763   -902.819      996.63      407.96      151.59      -37.15      -14.45       -4.42    18.40    11.77     7.18
 -902.819   -899.875     1011.15      436.69      174.43      -22.63       14.28       18.42    18.53    12.18     7.70
 -899.875   -896.931     1036.63      404.83      154.29        2.85      -17.58       -1.71    18.77    11.73     7.24
 -896.931   -893.987     1029.90      435.62      152.27       -3.88       13.21       -3.74    18.70    12.16     7.19
 -893.987   -891.043     1009.22      413.70      153.95      -24.56       -8.71       -2.06    18.52    11.85     7.23
 -891.043   -888.099     1049.82      406.26      153.64       16.04      -16.15       -2.37    18.88    11.75     7.22
 -888.099   -885.155     1029.49      422.62      154.64       -4.28        0.21       -1.36    18.70    11.98     7.25
 -885.155   -882.211     1024.79      430.85      154.66       -8.98        8.44       -1.34    18.66    12.10     7.25
 -882.211   -879.267     1051.52      416.83      154.32       17.75       -5.58       -1.69    18.90    11.90     7.24
 -879.267   -876.323     1043.62      435.96      158.06        9.84       13.55        2.05    18.83    12.17     7.33
 -876.323   -873.379     1019.87      410.98      151.91      -13.90      -11.43       -4.10    18.61    11.81     7.18
 -873.379   -870.435     1015.48      420.92      146.48      -18.30       -1.49       -9.53    18.57    11.96     7.05
 -870.435   -867.491     1048.08      426.75      147.16       14.30        4.34       -8.85    18.87    12.04     7.07
 -867.491   -864.547     1061.12      404.55      162.50       27.35      -17.87        6.49    18.98    11.72     7.43
 -864.547   -861.603     1023.69      411.36      154.31      -10.08      -11.05       -1.70    18.65    11.82     7.24
 -861.603   -858.659      993.93      429.48      142.73      -39.84        7.07      -13.28    18.37    12.08     6.96
 -858.659   -855.715     1075.52      420.25      149.20       41.75       -2.17       -6.81    19.11    11.95     7.12
 -855.715   -852.771     1028.55      417.19      155.00       -5.23       -5.23       -1.01    18.69    11.90     7.26
 -852.771   -849.827     1051.87      428.10      156.69       18.09        5.69        0.69    18.90    12.06     7.30
 -849.827   -846.883     1080.57      399.41      169.31       46.80      -23.00       13.30    19.16    11.65     7.58
 -846.883   -843.939     1024.38      404.87      152.61       -9.40      -17.54       -3.40    18.65    11.73     7.20
 -843.939   -840.995     1034.38      403.20      155.01        0.60      -19.21       -0.99    18.74    11.70     7.26
 -840.995   -838.051     1050.11      428.42      139.65       16.34        6.01      -16.36    18.89    12.06     6.89
 -838.051   -835.107     1040.79      419.55      163.50        7.01       -2.86        7.50    18.80    11.94     7.45
 -835.107   -832.163     1002.13      418.89      150.23      -31.65       -3.52       -5.78    18.45    11.93     7.14
 -832.163   -829.219     1027.83      428.41      153.62       -5.95        6.00       -2.39    18.68    12.06     7.22
 -829.219   -826.275     1013.13      437.00      157.72      -20.64       14.59        1.71    18.55    12.18     7.32
 -826.275   -823.331     1037.15      444.52      161.81        3.37       22.11        5.80    18.77    12.29     7.41
 -823.331   -820.387     1021.10      428.49      164.21      -12.67        6.08        8.21    18.62    12.06     7.47
 -820.387   -817.443     1035.07      432.54      149.88        1.30       10.13       -6.13    18.75    12.12     7.13
