33829.594 - KW trigger time, seconds UT.
33834.007 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
17.540 keV	74.070 keV - energy interval of channel G1.
74.070 keV	305.331 keV - energy interval of channel G2.
305.331 keV	1208.683 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
-1997.459  -1994.515     1023.38      365.00      120.85      -18.38        6.10        2.25    18.64    11.13     6.41
-1994.515  -1991.571     1040.81      352.05      122.90       -0.95       -6.85        4.30    18.80    10.94     6.46
-1991.571  -1988.627     1048.40      356.15      116.09        6.64       -2.75       -2.51    18.87    11.00     6.28
-1988.627  -1985.683     1073.32      344.53      105.87       31.56      -14.37      -12.73    19.09    10.82     6.00
-1985.683  -1982.739     1051.49      366.38      112.35        9.73        7.49       -6.25    18.90    11.16     6.18
-1982.739  -1979.795     1008.35      355.16      124.96      -33.41       -3.73        6.36    18.51    10.98     6.51
-1979.795  -1976.851     1039.17      351.05      108.95       -2.59       -7.85       -9.65    18.79    10.92     6.08
-1976.851  -1973.907     1050.19      380.39      117.80        8.43       21.49       -0.80    18.89    11.37     6.33
-1973.907  -1970.963     1036.11      376.30      110.31       -5.64       17.40       -8.29    18.76    11.31     6.12
-1970.963  -1968.019     1054.25      346.63      119.52       12.49      -12.27        0.92    18.92    10.85     6.37
-1968.019  -1965.075     1044.26      350.36      121.20        2.50       -8.54        2.60    18.83    10.91     6.42
-1965.075  -1962.131     1052.14      365.35      103.49       10.38        6.46      -15.11    18.91    11.14     5.93
-1962.131  -1959.187     1069.64      346.95      117.46       27.88      -11.95       -1.14    19.06    10.86     6.32
-1959.187  -1956.243     1022.39      354.12      122.23      -19.37       -4.77        3.63    18.64    10.97     6.44
-1956.243  -1953.299     1014.46      350.35      106.56      -27.30       -8.55      -12.04    18.56    10.91     6.02
-1953.299  -1950.355     1055.96      348.32      120.19       14.20      -10.57        1.59    18.94    10.88     6.39
-1950.355  -1947.411     1058.26      357.49      108.59       16.50       -1.40      -10.00    18.96    11.02     6.07
-1947.411  -1944.467     1017.94      383.45      118.47      -23.82       24.55       -0.13    18.59    11.41     6.34
-1944.467  -1941.523     1032.35      358.22      124.28       -9.41       -0.67        5.68    18.73    11.03     6.50
-1941.523  -1938.579     1054.27      360.61      126.31       12.51        1.71        7.72    18.92    11.07     6.55
-1938.579  -1935.635     1036.05      345.92      110.99       -5.71      -12.98       -7.61    18.76    10.84     6.14
-1935.635  -1932.691     1067.24      348.31      114.74       25.48      -10.58       -3.86    19.04    10.88     6.24
-1932.691  -1929.747     1048.84      375.62      127.33        7.08       16.72        8.74    18.88    11.29     6.58
-1929.747  -1926.803     1042.19      357.86      108.60        0.43       -1.04      -10.00    18.82    11.03     6.07
-1926.803  -1923.859     1044.37      374.25      116.09        2.61       15.35       -2.50    18.84    11.28     6.28
-1923.859  -1920.915     1010.48      377.70      118.15      -31.28       18.80       -0.45    18.53    11.33     6.33
-1920.915  -1917.971     1006.29      357.19      128.01      -35.47       -1.71        9.41    18.49    11.02     6.59
-1917.971  -1915.027     1062.45      353.76      121.54       20.69       -5.13        2.94    19.00    10.96     6.42
-1915.027  -1912.083     1017.59      366.06      115.08      -24.17        7.17       -3.52    18.59    11.15     6.25
-1912.083  -1909.139     1031.26      351.05      121.89      -10.50       -7.85        3.29    18.72    10.92     6.43
-1909.139  -1906.195     1035.38      345.59      126.66       -6.38      -13.31        8.06    18.75    10.84     6.56
-1906.195  -1903.251     1050.79      347.97      115.76        9.03      -10.93       -2.84    18.89    10.87     6.27
-1903.251  -1900.307     1040.54      356.18      123.59       -1.22       -2.71        5.00    18.80    11.00     6.48
-1900.307  -1897.363     1026.51      349.01      114.06      -15.25       -9.89       -4.54    18.67    10.89     6.22
-1897.363  -1894.419     1057.01      349.35      121.55       15.25       -9.55        2.96    18.95    10.89     6.43
-1894.419  -1891.475     1060.75      340.49      131.43       18.99      -18.41       12.83    18.98    10.75     6.68
-1891.475  -1888.531     1059.67      349.31      112.34       17.91       -9.59       -6.26    18.97    10.89     6.18
-1888.531  -1885.587     1041.29      368.13      124.28       -0.47        9.23        5.68    18.81    11.18     6.50
-1885.587  -1882.643     1045.44      375.65      130.75        3.69       16.75       12.16    18.84    11.30     6.66
-1882.643  -1879.699     1073.14      365.38      113.03       31.38        6.48       -5.56    19.09    11.14     6.20
-1879.699  -1876.755     1008.29      354.80      126.31      -33.47       -4.09        7.72    18.51    10.98     6.55
-1876.755  -1873.811     1034.66      335.00      126.65       -7.10      -23.90        8.05    18.75    10.67     6.56
-1873.811  -1870.867     1061.14      364.37      113.72       19.39        5.47       -4.88    18.98    11.12     6.21
-1870.867  -1867.923     1016.87      368.76      113.02      -24.89        9.86       -5.57    18.59    11.19     6.20
-1867.923  -1864.979     1032.98      350.01      115.07       -8.78       -8.89       -3.52    18.73    10.90     6.25
-1864.979  -1862.035     1061.70      350.69      107.24       19.94       -8.20      -11.36    18.99    10.91     6.04
-1862.035  -1859.091     1052.15      342.51      114.05       10.39      -16.39       -4.54    18.91    10.79     6.22
-1859.091  -1856.147     1025.10      355.80      111.66      -16.66       -3.09       -6.93    18.66    10.99     6.16
-1856.147  -1853.203     1037.10      345.94      121.89       -4.66      -12.95        3.29    18.77    10.84     6.43
-1853.203  -1850.259     1033.33      363.65      121.88       -8.43        4.75        3.28    18.73    11.11     6.43
-1850.259  -1847.315     1066.67      355.17      132.79       24.91       -3.73       14.20    19.04    10.98     6.72
-1847.315  -1844.371     1034.75      366.41      117.12       -7.00        7.52       -1.47    18.75    11.16     6.31
-1844.371  -1841.427     1002.92      374.59      121.55      -38.84       15.70        2.95    18.46    11.28     6.42
-1841.427  -1838.483     1060.42      373.90      117.45       18.66       15.00       -1.15    18.98    11.27     6.32
-1838.483  -1835.539     1043.32      356.87      132.45        1.56       -2.02       13.86    18.82    11.01     6.71
-1835.539  -1832.595     1036.06      348.32      109.97       -5.71      -10.58       -8.62    18.76    10.88     6.11
-1832.595  -1829.651     1018.89      363.29      114.72      -22.87        4.40       -3.88    18.60    11.11     6.24
-1829.651  -1826.707     1023.73      353.09      127.33      -18.03       -5.80        8.74    18.65    10.95     6.58
-1826.707  -1823.763     1045.01      345.26      122.58        3.25      -13.63        3.98    18.84    10.83     6.45
-1823.763  -1820.819     1049.43      342.18      126.66        7.67      -16.72        8.06    18.88    10.78     6.56
-1820.819  -1817.875     1040.28      379.73      122.23       -1.48       20.83        3.64    18.80    11.36     6.44
-1817.875  -1814.931     1064.90      357.89      123.94       23.14       -1.00        5.34    19.02    11.03     6.49
-1814.931  -1811.987     1067.34      363.01      120.87       25.58        4.11        2.27    19.04    11.10     6.41
-1811.987  -1809.043     1041.18      358.53      114.73       -0.58       -0.36       -3.87    18.81    11.04     6.24
-1809.043  -1806.099     1075.52      359.22      117.79       33.76        0.32       -0.81    19.11    11.05     6.33
-1806.099  -1803.155     1046.11      373.92      113.04        4.36       15.03       -5.56    18.85    11.27     6.20
-1803.155  -1800.211     1051.48      355.14      113.72        9.72       -3.76       -4.88    18.90    10.98     6.21
-1800.211  -1797.267     1045.05      355.84      112.36        3.29       -3.05       -6.24    18.84    10.99     6.18
-1797.267  -1794.323     1038.49      357.20      121.21       -3.27       -1.69        2.61    18.78    11.02     6.42
-1794.323  -1791.379     1028.58      362.64      123.93      -13.18        3.75        5.33    18.69    11.10     6.49
-1791.379  -1788.435     1040.15      357.18      104.52       -1.61       -1.72      -14.08    18.80    11.02     5.96
-1788.435  -1785.491     1033.67      362.95      115.40       -8.09        4.06       -3.19    18.74    11.10     6.26
-1785.491  -1782.547     1027.54      354.48      120.87      -14.22       -4.42        2.28    18.68    10.97     6.41
-1782.547  -1779.603     1037.46      347.64      123.93       -4.30      -11.25        5.34    18.77    10.87     6.49
-1779.603  -1776.659     1031.29      342.19      123.60      -10.47      -16.70        5.00    18.72    10.78     6.48
-1776.659  -1773.715     1013.61      386.57      128.03      -28.15       27.68        9.43    18.55    11.46     6.59
-1773.715  -1770.771     1064.28      373.61      130.07       22.52       14.71       11.47    19.01    11.27     6.65
-1770.771  -1767.827     1059.75      352.75      124.95       17.99       -6.15        6.35    18.97    10.95     6.51
-1767.827  -1764.883     1026.17      356.17      120.19      -15.58       -2.73        1.59    18.67    11.00     6.39
-1764.883  -1761.939     1043.91      359.22      114.05        2.15        0.32       -4.55    18.83    11.05     6.22
-1761.939  -1758.995     1043.97      345.93      114.74        2.21      -12.96       -3.85    18.83    10.84     6.24
-1758.995  -1756.051     1044.66      367.76      127.67        2.90        8.87        9.08    18.84    11.18     6.58
-1756.051  -1753.107     1039.47      352.74      124.60       -2.29       -6.16        6.00    18.79    10.95     6.51
-1753.107  -1750.163     1016.53      363.33      113.03      -25.23        4.44       -5.56    18.58    11.11     6.20
-1750.163  -1747.219     1039.88      359.59      112.02       -1.88        0.70       -6.58    18.79    11.05     6.17
-1747.219  -1744.275     1013.50      357.88      127.68      -28.25       -1.02        9.08    18.55    11.03     6.58
-1744.275  -1741.331     1019.30      362.31      115.42      -22.46        3.41       -3.18    18.61    11.09     6.26
-1741.331  -1738.387     1038.49      342.89      121.22       -3.27      -16.00        2.63    18.78    10.79     6.42
-1738.387  -1735.443     1037.16      385.16      113.03       -4.60       26.27       -5.57    18.77    11.44     6.20
-1735.443  -1732.499     1054.95      373.23      121.89       13.19       14.34        3.29    18.93    11.26     6.43
-1732.499  -1729.555     1021.33      350.70      117.80      -20.43       -8.20       -0.80    18.63    10.91     6.33
-1729.555  -1726.611     1034.69      352.73      113.37       -7.07       -6.17       -5.23    18.75    10.95     6.21
-1726.611  -1723.667     1055.25      349.00      121.55       13.49       -9.90        2.95    18.93    10.89     6.42
-1723.667  -1720.723     1064.85      347.28      118.14       23.09      -11.61       -0.46    19.02    10.86     6.33
-1720.723  -1717.779     1055.27      365.02      122.56       13.51        6.12        3.96    18.93    11.13     6.45
-1717.779  -1714.835     1039.60      357.23      129.74       -2.16       -1.67       11.14    18.79    11.02     6.64
-1714.835  -1711.891     1060.47      367.78      113.38       18.71        8.88       -5.22    18.98    11.18     6.21
-1711.891  -1708.947     1029.99      386.20      130.06      -11.77       27.31       11.46    18.70    11.45     6.65
-1708.947  -1706.003     1028.54      369.13      129.38      -13.22       10.24       10.78    18.69    11.20     6.63
-1706.003  -1703.059     1013.83      358.91      123.93      -27.93        0.01        5.34    18.56    11.04     6.49
-1703.059  -1700.115     1055.94      348.30      112.69       14.19      -10.60       -5.91    18.94    10.88     6.19
-1700.115  -1697.171     1037.50      369.81      127.67       -4.26       10.91        9.07    18.77    11.21     6.58
-1697.171  -1694.227     1020.99      363.31      124.94      -20.77        4.41        6.34    18.62    11.11     6.51
-1694.227  -1691.283     1074.53      373.25      118.14       32.77       14.36       -0.45    19.11    11.26     6.33
-1691.283  -1688.339     1061.46      360.61      120.87       19.70        1.71        2.27    18.99    11.07     6.41
-1688.339  -1685.395     1088.04      345.89      109.96       46.28      -13.01       -8.64    19.22    10.84     6.11
-1685.395  -1682.451     1045.33      359.23      107.92        3.57        0.33      -10.67    18.84    11.05     6.05
-1682.451  -1679.507     1038.18      357.55      128.02       -3.58       -1.35        9.43    18.78    11.02     6.59
-1679.507  -1676.563     1027.60      386.21      121.89      -14.16       27.31        3.29    18.68    11.45     6.43
-1676.563  -1673.619     1048.09      372.53      113.03        6.33       13.63       -5.57    18.87    11.25     6.20
-1673.619  -1670.675     1062.52      359.58      137.21       20.75        0.69       18.61    19.00    11.05     6.83
-1670.675  -1667.731     1028.82      357.51      121.20      -12.94       -1.39        2.60    18.69    11.02     6.42
-1667.731  -1664.787     1004.22      361.28      121.20      -37.53        2.38        2.60    18.47    11.08     6.42
-1664.787  -1661.843     1016.53      369.12      121.20      -25.22       10.22        2.60    18.58    11.20     6.42
-1661.843  -1658.899     1051.78      354.76      106.89       10.02       -4.14      -11.71    18.90    10.98     6.03
-1658.899  -1655.955     1039.11      347.96      124.94       -2.65      -10.93        6.35    18.79    10.87     6.51
-1655.955  -1653.011     1039.84      355.49      123.93       -1.92       -3.41        5.33    18.79    10.99     6.49
-1653.011  -1650.067     1006.88      356.14      122.22      -34.88       -2.75        3.62    18.49    11.00     6.44
-1650.067  -1647.123     1041.20      350.02      118.14       -0.56       -8.88       -0.46    18.81    10.90     6.33
-1647.123  -1644.179     1058.80      369.83      121.89       17.04       10.93        3.29    18.96    11.21     6.43
-1644.179  -1641.235     1051.54      373.57      108.95        9.78       14.67       -9.65    18.90    11.27     6.08
-1641.235  -1638.291     1036.80      357.54      111.00       -4.96       -1.36       -7.60    18.77    11.02     6.14
-1638.291  -1635.347     1021.32      355.82      115.75      -20.45       -3.08       -2.84    18.63    10.99     6.27
-1635.347  -1632.403     1066.56      348.31      115.75       24.80      -10.58       -2.84    19.03    10.88     6.27
-1632.403  -1629.459     1017.35      353.47      126.67      -24.41       -5.42        8.07    18.59    10.96     6.56
-1629.459  -1626.515     1085.13      373.23      125.63       43.38       14.33        7.03    19.20    11.26     6.53
-1626.515  -1623.571     1040.90      343.54      122.57       -0.86      -15.36        3.98    18.80    10.80     6.45
-1623.571  -1620.627     1037.11      345.59      120.53       -4.65      -13.30        1.93    18.77    10.84     6.40
-1620.627  -1617.683     1044.71      348.34      119.86        2.95      -10.55        1.26    18.84    10.88     6.38
-1617.683  -1614.739     1054.87      357.52      116.43       13.11       -1.38       -2.16    18.93    11.02     6.29
-1614.739  -1611.795     1037.85      366.75      115.42       -3.91        7.85       -3.18    18.78    11.16     6.26
-1611.795  -1608.851     1008.68      349.36      125.64      -33.08       -9.54        7.04    18.51    10.89     6.53
-1608.851  -1605.907     1067.85      347.26      114.73       26.09      -11.63       -3.87    19.05    10.86     6.24
-1605.907  -1602.963     1058.01      370.13      113.70       16.25       11.23       -4.89    18.96    11.21     6.21
-1602.963  -1600.019     1030.97      362.32      107.59      -10.79        3.42      -11.01    18.71    11.09     6.04
-1600.019  -1597.075     1040.26      361.98      122.57       -1.50        3.08        3.97    18.80    11.09     6.45
-1597.075  -1594.131     1043.60      347.62      116.10        1.84      -11.27       -2.50    18.83    10.87     6.28
-1594.131  -1591.187     1035.49      371.20      121.89       -6.26       12.30        3.29    18.75    11.23     6.43
-1591.187  -1588.243     1056.62      349.34      128.36       14.86       -9.55        9.76    18.95    10.89     6.60
-1588.243  -1585.299     1029.65      386.53      112.01      -12.11       27.64       -6.59    18.70    11.46     6.17
-1585.299  -1582.355     1023.18      373.25      125.98      -18.58       14.36        7.38    18.64    11.26     6.54
-1582.355  -1579.411     1013.16      368.13      129.04      -28.60        9.24       10.45    18.55    11.18     6.62
-1579.411  -1576.467     1035.02      354.78      127.67       -6.74       -4.11        9.07    18.75    10.98     6.58
-1576.467  -1573.523     1073.18      369.83      126.32       31.42       10.94        7.72    19.09    11.21     6.55
-1573.523  -1570.579     1058.06      359.58      120.86       16.30        0.69        2.27    18.96    11.05     6.41
-1570.579  -1567.635     1035.32      331.25      124.27       -6.44      -27.64        5.67    18.75    10.61     6.50
-1567.635  -1564.691     1037.73      343.87      119.50       -4.03      -15.03        0.90    18.77    10.81     6.37
-1564.691  -1561.747     1063.52      370.49      120.86       21.76       11.59        2.26    19.01    11.22     6.41
-1561.747  -1558.803     1034.37      362.30      107.58       -7.39        3.40      -11.01    18.74    11.09     6.04
