62806.013 - KW trigger time, seconds UT.
62811.153 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
17.320 keV	73.142 keV - energy interval of channel G1.
73.142 keV	301.505 keV - energy interval of channel G2.
301.505 keV	1193.536 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -998.861   -995.917     1123.30      467.49      245.60        9.80        7.02        4.30    19.53    12.60     9.13
 -995.917   -992.973     1119.16      459.29      235.38        5.66       -1.18       -5.93    19.50    12.49     8.94
 -992.973   -990.029     1119.07      457.18      232.95        5.57       -3.29       -8.36    19.50    12.46     8.89
 -990.029   -987.085     1109.17      458.92      244.22       -4.33       -1.55        2.91    19.41    12.48     9.11
 -987.085   -984.141     1093.05      451.78      236.41      -20.45       -8.69       -4.90    19.27    12.39     8.96
 -984.141   -981.197     1132.54      451.08      238.11       19.04       -9.38       -3.20    19.61    12.38     8.99
 -981.197   -978.253     1129.06      457.90      246.62       15.56       -2.57        5.31    19.58    12.47     9.15
 -978.253   -975.309     1122.16      462.64      227.15        8.66        2.18      -14.16    19.52    12.54     8.78
 -975.309   -972.365     1118.43      460.60      248.98        4.92        0.13        7.68    19.49    12.51     9.20
 -972.365   -969.421     1113.95      460.62      248.31        0.45        0.15        7.00    19.45    12.51     9.18
 -969.421   -966.477     1106.43      476.37      231.26       -7.08       15.90      -10.04    19.39    12.72     8.86
 -966.477   -963.533     1138.43      464.43      229.93       24.93        3.96      -11.38    19.66    12.56     8.84
 -963.533   -960.589     1119.09      469.85      240.11        5.59        9.38       -1.19    19.50    12.63     9.03
 -960.589   -957.645     1111.26      454.83      234.34       -2.25       -5.64       -6.97    19.43    12.43     8.92
 -957.645   -954.701     1130.58      474.72      259.28       17.07       14.25       17.97    19.60    12.70     9.38
 -954.701   -951.757     1116.42      459.31      249.03        2.92       -1.16        7.73    19.47    12.49     9.20
 -951.757   -948.813     1098.81      467.41      237.02      -14.69        6.94       -4.29    19.32    12.60     8.97
 -948.813   -945.869     1102.94      462.31      252.74      -10.56        1.85       11.43    19.36    12.53     9.27
 -945.869   -942.925     1129.78      442.18      240.49       16.27      -18.29       -0.82    19.59    12.26     9.04
 -942.925   -939.981     1123.89      472.24      238.41       10.39       11.77       -2.90    19.54    12.66     9.00
 -939.981   -937.037     1116.70      465.76      228.53        3.20        5.29      -12.78    19.48    12.58     8.81
 -937.037   -934.093     1108.87      469.22      246.63       -4.63        8.75        5.32    19.41    12.62     9.15
 -934.093   -931.149     1103.72      466.81      237.08       -9.78        6.33       -4.23    19.36    12.59     8.97
 -931.149   -928.205     1076.96      479.13      254.47      -36.55       18.66       13.17    19.13    12.76     9.30
 -928.205   -925.261     1128.71      461.31      245.59       15.21        0.85        4.28    19.58    12.52     9.13
 -925.261   -922.317     1111.65      465.44      253.80       -1.85        4.98       12.49    19.43    12.57     9.29
 -922.317   -919.373     1109.89      461.33      254.47       -3.61        0.86       13.16    19.42    12.52     9.30
 -919.373   -916.429     1100.94      447.32      250.05      -12.56      -13.14        8.74    19.34    12.33     9.22
 -916.429   -913.485     1124.28      462.00      252.76       10.77        1.53       11.45    19.54    12.53     9.27
 -913.485   -910.541     1052.53      453.46      240.83      -60.97       -7.00       -0.48    18.91    12.41     9.04
 -910.541   -907.597     1128.33      457.53      227.84       14.83       -2.94      -13.47    19.58    12.47     8.80
 -907.597   -904.653     1104.11      473.65      237.42       -9.39       13.18       -3.89    19.37    12.68     8.98
 -904.653   -901.709     1130.76      472.22      246.92       17.26       11.75        5.62    19.60    12.66     9.16
 -901.709   -898.765     1111.48      444.88      253.77       -2.02      -15.59       12.46    19.43    12.29     9.28
 -898.765   -895.821     1097.83      481.13      230.57      -15.67       20.67      -10.74    19.31    12.78     8.85
 -895.821   -892.877     1105.72      437.74      243.56       -7.79      -22.73        2.25    19.38    12.19     9.10
 -892.877   -889.933     1124.35      468.54      242.20       10.85        8.07        0.89    19.54    12.62     9.07
 -889.933   -886.989     1088.53      443.89      246.28      -24.98      -16.58        4.97    19.23    12.28     9.15
 -886.989   -884.045     1130.77      446.63      228.90       17.27      -13.84      -12.41    19.60    12.32     8.82
 -884.045   -881.101     1127.07      472.27      243.89       13.57       11.80        2.58    19.57    12.67     9.10
 -881.101   -878.157     1134.36      474.72      258.94       20.86       14.25       17.63    19.63    12.70     9.38
 -878.157   -875.213     1111.91      465.08      245.93       -1.59        4.61        4.63    19.43    12.57     9.14
 -875.213   -872.269     1113.24      449.71      251.40       -0.26      -10.76       10.10    19.45    12.36     9.24
 -872.269   -869.325     1145.00      467.50      238.11       31.50        7.03       -3.20    19.72    12.60     8.99
 -869.325   -866.381     1073.78      442.19      231.97      -39.73      -18.28       -9.34    19.10    12.26     8.88
 -866.381   -863.437     1125.23      451.37      230.57       11.73       -9.10      -10.74    19.55    12.38     8.85
 -863.437   -860.493     1098.46      448.65      242.51      -15.04      -11.82        1.21    19.32    12.35     9.08
 -860.493   -857.549     1112.62      452.44      237.76       -0.88       -8.03       -3.55    19.44    12.40     8.99
 -857.549   -854.605     1127.12      477.43      249.03       13.61       16.97        7.72    19.57    12.73     9.20
 -854.605   -851.661     1094.36      441.14      252.76      -19.14      -19.33       11.45    19.28    12.24     9.27
 -851.661   -848.717     1145.12      465.70      215.88       31.62        5.23      -25.43    19.72    12.58     8.56
 -848.717   -845.773     1093.29      455.81      232.95      -20.21       -4.66       -8.36    19.27    12.44     8.89
 -845.773   -842.829     1136.00      473.31      245.94       22.50       12.84        4.64    19.64    12.68     9.14
 -842.829   -839.885     1077.37      487.02      240.84      -36.13       26.55       -0.47    19.13    12.86     9.04
 -839.885   -836.941     1101.58      473.60      244.88      -11.92       13.13        3.58    19.34    12.68     9.12
 -836.941   -833.997     1107.73      445.24      232.63       -5.77      -15.23       -8.68    19.40    12.30     8.89
 -833.997   -831.053     1121.87      456.22      251.41        8.37       -4.25       10.11    19.52    12.45     9.24
 -831.053   -828.109     1130.12      454.49      246.97       16.62       -5.98        5.66    19.59    12.43     9.16
 -828.109   -825.165     1082.45      456.57      238.12      -31.05       -3.90       -3.19    19.18    12.45     8.99
 -825.165   -822.221     1101.33      463.38      246.97      -12.17        2.91        5.66    19.34    12.55     9.16
 -822.221   -819.277     1072.42      446.28      245.94      -41.08      -14.19        4.63    19.09    12.31     9.14
 -819.277   -816.333     1115.72      468.15      221.03        2.23        7.68      -20.28    19.47    12.61     8.66
 -816.333   -813.389     1152.02      449.34      249.34       38.52      -11.12        8.03    19.78    12.35     9.20
 -813.389   -810.445     1100.49      433.27      239.45      -13.01      -27.19       -1.86    19.33    12.13     9.02
 -810.445   -807.501     1138.70      464.07      235.71       25.20        3.60       -5.60    19.67    12.55     8.95
 -807.501   -804.557     1146.54      445.61      233.66       33.04      -14.86       -7.65    19.73    12.30     8.91
 -804.557   -801.613     1096.43      451.06      237.41      -17.07       -9.41       -3.90    19.30    12.38     8.98
 -801.613   -798.669     1099.93      473.61      239.44      -13.57       13.14       -1.87    19.33    12.68     9.02
 -798.669   -795.725     1061.39      431.23      236.05      -52.11      -29.24       -5.26    18.99    12.10     8.95
 -795.725   -792.781     1119.85      457.21      228.55        6.35       -3.25      -12.76    19.50    12.46     8.81
 -792.781   -789.837     1089.59      441.82      240.82      -23.91      -18.65       -0.49    19.24    12.25     9.04
 -789.837   -786.893     1111.91      459.25      244.56       -1.59       -1.22        3.26    19.43    12.49     9.11
 -786.893   -783.949     1113.39      488.69      232.97       -0.11       28.22       -8.34    19.45    12.88     8.90
 -783.949   -781.005     1103.04      459.61      243.89      -10.46       -0.86        2.58    19.36    12.49     9.10
 -781.005   -778.061     1096.20      463.40      243.91      -17.31        2.93        2.60    19.30    12.55     9.10
 -778.061   -775.117     1122.12      458.54      234.65        8.61       -1.93       -6.66    19.52    12.48     8.93
 -775.117   -772.173     1089.21      441.48      243.21      -24.29      -18.99        1.90    19.23    12.25     9.09
 -772.173   -769.229     1109.93      484.24      249.01       -3.57       23.77        7.70    19.42    12.82     9.20
 -769.229   -766.285     1099.28      468.55      251.08      -14.22        8.08        9.77    19.32    12.62     9.23
 -766.285   -763.341     1100.19      469.84      230.22      -13.31        9.37      -11.09    19.33    12.63     8.84
 -763.341   -760.397     1118.17      469.21      240.84        4.66        8.75       -0.47    19.49    12.62     9.04
 -760.397   -757.453     1124.20      467.42      244.87       10.69        6.95        3.56    19.54    12.60     9.12
 -757.453   -754.509     1123.57      466.77      242.51       10.07        6.30        1.20    19.54    12.59     9.08
 -754.509   -751.565     1123.03      482.58      241.53        9.53       22.11        0.22    19.53    12.80     9.06
 -751.565   -748.621     1100.29      431.62      258.95      -13.22      -28.84       17.64    19.33    12.11     9.38
 -748.621   -745.677     1110.13      460.61      237.39       -3.37        0.14       -3.92    19.42    12.51     8.98
 -745.677   -742.733     1132.85      472.26      249.68       19.35       11.79        8.37    19.62    12.66     9.21
 -742.733   -739.789     1098.62      473.65      243.56      -14.88       13.18        2.25    19.32    12.68     9.10
 -739.789   -736.845     1134.59      456.86      239.44       21.09       -3.61       -1.87    19.63    12.46     9.02
 -736.845   -733.901     1107.42      458.57      230.24       -6.08       -1.90      -11.07    19.39    12.48     8.84
 -733.901   -730.957     1133.26      474.33      249.68       19.76       13.87        8.37    19.62    12.69     9.21
 -730.957   -728.013     1096.12      472.91      231.59      -17.39       12.45       -9.72    19.30    12.67     8.87
 -728.013   -725.069     1115.61      446.58      224.42        2.11      -13.89      -16.89    19.47    12.32     8.73
 -725.069   -722.125     1117.40      454.82      256.18        3.90       -5.65       14.87    19.48    12.43     9.33
 -722.125   -719.181     1072.80      474.29      233.98      -40.70       13.82       -7.33    19.09    12.69     8.91
 -719.181   -716.237     1114.38      470.90      248.67        0.88       10.43        7.37    19.46    12.65     9.19
 -716.237   -713.293     1137.66      471.24      238.43       24.16       10.77       -2.88    19.66    12.65     9.00
 -713.293   -710.349     1111.58      466.46      230.58       -1.92        5.99      -10.73    19.43    12.59     8.85
 -710.349   -707.405     1108.56      452.13      249.72       -4.94       -8.34        8.42    19.41    12.39     9.21
 -707.405   -704.461     1134.71      471.64      243.24       21.21       11.17        1.93    19.63    12.66     9.09
 -704.461   -701.517     1133.09      451.71      230.90       19.59       -8.76      -10.41    19.62    12.39     8.86
 -701.517   -698.573     1131.07      432.92      227.51       17.57      -27.54      -13.79    19.60    12.13     8.79
 -698.573   -695.629     1118.85      455.55      239.49        5.34       -4.92       -1.82    19.50    12.44     9.02
 -695.629   -692.685     1116.04      458.92      245.93        2.54       -1.55        4.62    19.47    12.48     9.14
 -692.685   -689.741     1092.35      448.00      254.13      -21.15      -12.47       12.83    19.26    12.34     9.29
 -689.741   -686.797     1122.58      466.49      238.45        9.08        6.02       -2.86    19.53    12.59     9.00
 -686.797   -683.853     1131.12      460.27      237.74       17.62       -0.20       -3.57    19.60    12.50     8.99
 -683.853   -680.909     1086.17      472.22      246.25      -27.34       11.76        4.94    19.21    12.66     9.15
 -680.909   -677.965     1136.73      464.09      273.25       23.23        3.62       31.94    19.65    12.55     9.63
 -677.965   -675.021     1100.56      459.25      248.66      -12.94       -1.22        7.35    19.34    12.49     9.19
 -675.021   -672.077     1118.01      459.23      237.38        4.51       -1.24       -3.92    19.49    12.49     8.98
 -672.077   -669.133     1151.89      473.35      247.00       38.39       12.88        5.69    19.78    12.68     9.16
 -669.133   -666.189     1115.69      443.92      251.08        2.18      -16.55        9.77    19.47    12.28     9.23
 -666.189   -663.245     1118.42      449.70      243.55        4.92      -10.77        2.25    19.49    12.36     9.10
 -663.245   -660.301     1113.34      474.32      243.21       -0.16       13.85        1.90    19.45    12.69     9.09
 -660.301   -657.357     1097.21      469.91      247.32      -16.29        9.44        6.01    19.30    12.63     9.17
 -657.357   -654.413     1136.60      466.76      235.68       23.10        6.29       -5.63    19.65    12.59     8.95
 -654.413   -651.469     1096.55      462.70      243.91      -16.96        2.23        2.60    19.30    12.54     9.10
 -651.469   -648.525     1136.28      456.52      246.26       22.78       -3.95        4.96    19.65    12.45     9.15
 -648.525   -645.581     1139.72      454.52      249.71       26.22       -5.95        8.40    19.68    12.43     9.21
 -645.581   -642.637     1093.74      452.80      245.62      -19.76       -7.67        4.31    19.27    12.40     9.13
 -642.637   -639.693     1148.93      456.50      228.17       35.43       -3.97      -13.13    19.75    12.45     8.80
 -639.693   -636.749     1130.75      457.19      230.22       17.25       -3.27      -11.09    19.60    12.46     8.84
 -636.749   -633.805     1124.97      462.35      249.01       11.47        1.88        7.70    19.55    12.53     9.20
 -633.805   -630.861     1107.40      449.34      240.48       -6.10      -11.13       -0.83    19.39    12.35     9.04
 -630.861   -627.917     1112.24      449.36      256.18       -1.26      -11.11       14.87    19.44    12.36     9.33
 -627.917   -624.973     1116.40      459.60      233.65        2.90       -0.87       -7.66    19.47    12.49     8.91
 -624.973   -622.029     1123.27      476.33      217.26        9.77       15.87      -24.05    19.53    12.72     8.59
 -622.029   -619.085     1106.09      457.93      245.61       -7.41       -2.54        4.30    19.38    12.47     9.13
 -619.085   -616.141     1148.35      475.68      243.21       34.84       15.21        1.90    19.75    12.71     9.09
 -616.141   -613.197     1082.06      459.27      244.23      -31.44       -1.20        2.92    19.17    12.49     9.11
 -613.197   -610.253     1092.33      454.82      250.03      -21.17       -5.64        8.72    19.26    12.43     9.22
 -610.253   -607.309     1115.78      472.62      258.56        2.27       12.16       17.25    19.47    12.67     9.37
 -607.309   -604.365     1113.99      466.09      222.74        0.48        5.62      -18.57    19.45    12.58     8.70
 -604.365   -601.421     1129.51      459.97      237.76       16.01       -0.50       -3.55    19.59    12.50     8.99
 -601.421   -598.477     1143.47      453.09      242.51       29.97       -7.37        1.20    19.71    12.41     9.08
 -598.477   -595.533     1108.14      474.64      232.96       -5.36       14.17       -8.35    19.40    12.70     8.89
 -595.533   -592.589     1110.64      458.97      256.87       -2.86       -1.50       15.56    19.42    12.49     9.34
 -592.589   -589.645     1133.46      444.53      231.93       19.96      -15.94       -9.38    19.62    12.29     8.88
 -589.645   -586.701     1121.25      463.05      242.88        7.75        2.58        1.58    19.52    12.54     9.08
 -586.701   -583.757     1147.41      470.27      241.20       33.91        9.80       -0.11    19.74    12.64     9.05
 -583.757   -580.813     1120.90      454.49      242.88        7.39       -5.98        1.57    19.51    12.43     9.08
 -580.813   -577.869     1129.11      460.30      252.76       15.61       -0.17       11.45    19.58    12.50     9.27
 -577.869   -574.925     1135.69      472.30      245.96       22.19       11.83        4.65    19.64    12.67     9.14
 -574.925   -571.981     1088.83      445.20      237.04      -24.67      -15.27       -4.27    19.23    12.30     8.97
 -571.981   -569.037     1117.85      485.61      259.24        4.35       25.15       17.93    19.49    12.84     9.38
 -569.037   -566.093     1109.53      452.10      255.16       -3.97       -8.37       13.85    19.41    12.39     9.31
 -566.093   -563.149     1113.88      430.19      249.00        0.37      -30.29        7.69    19.45    12.09     9.20
 -563.149   -560.205     1120.47      467.12      224.43        6.97        6.65      -16.88    19.51    12.60     8.73
 -560.205   -557.261     1106.76      443.22      246.29       -6.74      -17.25        4.99    19.39    12.27     9.15
 -557.261   -554.317     1085.87      459.98      240.49      -27.63       -0.49       -0.81    19.20    12.50     9.04
 -554.317   -551.373     1112.26      458.95      248.68       -1.24       -1.52        7.37    19.44    12.49     9.19
 -551.373   -548.429     1129.07      447.30      241.51       15.57      -13.17        0.20    19.58    12.33     9.06
 -548.429   -545.485     1072.15      481.50      244.24      -41.35       21.03        2.93    19.08    12.79     9.11
 -545.485   -542.541     1136.25      470.18      232.95       22.75        9.71       -8.36    19.65    12.64     8.89
 -542.541   -539.597     1118.39      452.43      234.34        4.89       -8.04       -6.97    19.49    12.40     8.92
 -539.597   -536.653     1124.33      456.57      246.29       10.83       -3.90        4.98    19.54    12.45     9.15
 -536.653   -533.709     1112.29      467.14      243.55       -1.21        6.68        2.24    19.44    12.60     9.10
 -533.709   -530.765     1132.46      465.41      235.34       18.96        4.94       -5.96    19.61    12.57     8.94
 -530.765   -527.821     1128.82      479.79      236.72       15.32       19.32       -4.59    19.58    12.77     8.97
 -527.821   -524.877     1111.67      489.04      221.37       -1.83       28.57      -19.93    19.43    12.89     8.67
 -524.877   -521.933     1122.90      447.98      247.30        9.39      -12.49        5.99    19.53    12.34     9.16
 -521.933   -518.989     1114.98      468.81      232.95        1.48        8.35       -8.36    19.46    12.62     8.89
 -518.989   -516.045     1129.13      472.27      252.75       15.63       11.80       11.44    19.58    12.67     9.27
 -516.045   -513.101     1125.73      465.13      238.81       12.23        4.66       -2.50    19.55    12.57     9.01
 -513.101   -510.157     1150.01      454.82      231.61       36.51       -5.65       -9.69    19.76    12.43     8.87
 -510.157   -507.213     1129.55      486.66      269.48       16.05       26.19       28.18    19.59    12.86     9.57
 -507.213   -504.269     1112.28      465.08      246.28       -1.22        4.61        4.97    19.44    12.57     9.15
 -504.269   -501.325     1136.26      473.56      224.40       22.75       13.09      -16.91    19.65    12.68     8.73
 -501.325   -498.381     1139.08      474.68      249.02       25.58       14.21        7.71    19.67    12.70     9.20
 -498.381   -495.437     1108.45      468.15      236.38       -5.05        7.68       -4.93    19.40    12.61     8.96
 -495.437   -492.493     1086.56      464.42      237.76      -26.94        3.95       -3.55    19.21    12.56     8.99
 -492.493   -489.549     1115.62      460.94      227.50        2.12        0.48      -13.81    19.47    12.51     8.79
 -489.549   -486.605     1121.21      457.57      253.79        7.71       -2.89       12.48    19.52    12.47     9.29
 -486.605   -483.661     1143.54      452.45      247.65       30.04       -8.02        6.34    19.71    12.40     9.17
 -483.661   -480.717     1110.88      479.75      227.49       -2.63       19.28      -13.82    19.43    12.77     8.79
 -480.717   -477.773     1100.18      445.56      233.64      -13.32      -14.90       -7.66    19.33    12.30     8.91
 -477.773   -474.829     1081.79      465.81      253.12      -31.71        5.34       11.82    19.17    12.58     9.27
 -474.829   -471.885     1096.87      470.55      256.16      -16.64       10.08       14.85    19.30    12.64     9.33
 -471.885   -468.941     1127.81      457.27      251.43       14.31       -3.20       10.12    19.57    12.46     9.24
 -468.941   -465.997     1127.14      470.25      235.73       13.64        9.79       -5.58    19.57    12.64     8.95
 -465.997   -463.053     1166.52      458.93      248.33       53.02       -1.54        7.02    19.91    12.48     9.18
 -463.053   -460.109     1120.56      479.45      254.12        7.06       18.98       12.81    19.51    12.76     9.29
 -460.109   -457.165     1115.58      462.29      242.49        2.08        1.82        1.18    19.47    12.53     9.08
 -457.165   -454.221     1150.44      463.40      260.97       36.94        2.94       19.66    19.77    12.55     9.41
 -454.221   -451.277     1089.72      467.86      256.55      -23.78        7.39       15.24    19.24    12.61     9.34
 -451.277   -448.333     1098.62      484.92      250.71      -14.88       24.45        9.40    19.32    12.83     9.23
 -448.333   -445.389     1153.21      490.04      241.49       39.70       29.57        0.18    19.79    12.90     9.06
 -445.389   -442.445     1148.01      482.17      236.37       34.51       21.70       -4.94    19.75    12.80     8.96
 -442.445   -439.501     1165.08      452.05      239.78       51.58       -8.42       -1.53    19.89    12.39     9.03
 -439.501   -436.557     1120.19      440.85      246.64        6.69      -19.62        5.34    19.51    12.24     9.15
 -436.557   -433.613     1129.80      448.00      243.22       16.30      -12.47        1.91    19.59    12.34     9.09
 -433.613   -430.669     1150.68      461.65      225.45       37.18        1.18      -15.85    19.77    12.52     8.75
 -430.669   -427.725     1168.27      473.97      243.54       54.77       13.50        2.23    19.92    12.69     9.10
 -427.725   -424.781     1138.03      464.03      242.51       24.52        3.56        1.21    19.66    12.55     9.08
 -424.781   -421.837     1155.48      468.15      222.04       41.98        7.68      -19.27    19.81    12.61     8.69
 -421.837   -418.893     1193.40      484.96      238.78       79.90       24.49       -2.52    20.13    12.84     9.01
 -418.893   -415.949     1106.16      476.36      242.51       -7.34       15.89        1.21    19.38    12.72     9.08
