16839.916 - KW trigger time, seconds UT.
16840.952 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
14.672 keV	61.957 keV - energy interval of channel G1.
61.957 keV	255.399 keV - energy interval of channel G2.
255.399 keV	1011.022 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -998.299   -995.355     1188.09      567.31      223.34        6.76       14.69       -3.51    20.09    13.88     8.71
 -995.355   -992.411     1192.59      582.09      221.30       11.26       29.47       -5.55    20.13    14.06     8.67
 -992.411   -989.467     1151.60      550.92      217.21      -29.73       -1.70       -9.64    19.78    13.68     8.59
 -989.467   -986.523     1189.91      566.39      222.70        8.58       13.77       -4.15    20.10    13.87     8.70
 -986.523   -983.579     1225.17      541.05      242.13       43.84      -11.57       15.29    20.40    13.56     9.07
 -983.579   -980.635     1145.21      577.96      227.10      -36.12       25.35        0.26    19.72    14.01     8.78
 -980.635   -977.691     1169.72      539.25      208.67      -11.60      -13.37      -18.19    19.93    13.53     8.42
 -977.691   -974.747     1204.53      543.07      219.95       23.20       -9.55       -6.91    20.23    13.58     8.64
 -974.747   -971.803     1156.86      542.41      233.95      -24.47      -10.21        7.10    19.82    13.57     8.91
 -971.803   -968.859     1184.40      563.31      227.48        3.07       10.69        0.62    20.06    13.83     8.79
 -968.859   -965.915     1180.90      550.95      227.80       -0.43       -1.68        0.94    20.03    13.68     8.80
 -965.915   -962.971     1180.88      570.08      224.37       -0.45       17.47       -2.49    20.03    13.92     8.73
 -962.971   -960.027     1192.21      552.98      227.79       10.89        0.36        0.94    20.12    13.71     8.80
 -960.027   -957.083     1197.69      511.99      241.13       16.36      -40.63       14.28    20.17    13.19     9.05
 -957.083   -954.139     1198.53      584.17      216.89       17.20       31.55       -9.96    20.18    14.09     8.58
 -954.139   -951.195     1190.53      548.94      235.66        9.20       -3.68        8.81    20.11    13.65     8.95
 -951.195   -948.251     1149.17      547.82      223.00      -32.16       -4.80       -3.85    19.76    13.64     8.70
 -948.251   -945.307     1169.44      553.28      229.13      -11.89        0.67        2.28    19.93    13.71     8.82
 -945.307   -942.363     1142.17      572.87      221.66      -39.16       20.25       -5.19    19.70    13.95     8.68
 -942.363   -939.419     1220.06      558.13      220.97       38.73        5.51       -5.88    20.36    13.77     8.66
 -939.419   -936.475     1182.30      585.47      221.29        0.97       32.85       -5.56    20.04    14.10     8.67
 -936.475   -933.531     1170.24      559.86      229.85      -11.09        7.24        3.00    19.94    13.79     8.84
 -933.531   -930.587     1199.44      558.11      223.02       18.11        5.49       -3.83    20.18    13.77     8.70
 -930.587   -927.643     1187.31      529.03      226.42        5.99      -23.59       -0.43    20.08    13.40     8.77
 -927.643   -924.699     1160.52      554.32      231.86      -20.80        1.70        5.01    19.85    13.72     8.88
 -924.699   -921.755     1150.71      559.87      227.13      -30.62        7.25        0.28    19.77    13.79     8.78
 -921.755   -918.811     1155.86      554.75      238.73      -25.47        2.13       11.88    19.82    13.73     9.01
 -918.811   -915.867     1165.38      551.95      232.56      -15.95       -0.67        5.71    19.90    13.69     8.89
 -915.867   -912.923     1203.19      537.99      230.90       21.86      -14.63        4.05    20.22    13.52     8.86
 -912.923   -909.979     1162.59      519.12      224.05      -18.74      -33.49       -2.80    19.87    13.28     8.72
 -909.979   -907.035     1160.18      546.44      222.31      -21.15       -6.18       -4.54    19.85    13.62     8.69
 -907.035   -904.091     1149.97      561.91      229.51      -31.35        9.29        2.66    19.76    13.81     8.83
 -904.091   -901.147     1164.10      557.83      237.37      -17.23        5.21       10.52    19.89    13.77     8.98
 -901.147   -898.203     1199.38      530.08      222.69       18.05      -22.54       -4.16    20.18    13.42     8.70
 -898.203   -895.259     1194.95      545.81      229.16       13.62       -6.81        2.31    20.15    13.62     8.82
 -895.259   -892.315     1176.44      554.76      237.38       -4.88        2.14       10.52    19.99    13.73     8.98
 -892.315   -889.371     1235.05      530.07      225.07       53.72      -22.55       -1.78    20.48    13.42     8.74
 -889.371   -886.427     1216.22      564.59      229.81       34.89       11.97        2.96    20.32    13.85     8.84
 -886.427   -883.483     1205.93      549.92      217.23       24.60       -2.69       -9.62    20.24    13.67     8.59
 -883.483   -880.539     1179.21      575.25      236.32       -2.12       22.63        9.47    20.01    13.98     8.96
 -880.539   -877.595     1196.09      582.79      210.75       14.77       30.17      -16.10    20.16    14.07     8.46
