28643.377 - KW trigger time, seconds UT.
28648.872 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
17.419 keV	73.560 keV - energy interval of channel G1.
73.560 keV	303.226 keV - energy interval of channel G2.
303.226 keV	1200.352 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
-1999.286  -1996.342     1070.84      361.35      121.23       29.01        6.77        0.45    19.07    11.08     6.42
-1996.342  -1993.398     1087.15      326.17      120.54       45.32      -28.40       -0.24    19.22    10.53     6.40
-1993.398  -1990.454     1080.10      373.99      119.19       38.27       19.42       -1.59    19.15    11.27     6.36
-1990.454  -1987.510     1030.96      349.70      119.86      -10.87       -4.87       -0.92    18.71    10.90     6.38
-1987.510  -1984.566     1035.49      350.42      125.32       -6.34       -4.15        4.54    18.75    10.91     6.52
-1984.566  -1981.622     1057.85      353.86      133.16       16.02       -0.72       12.38    18.96    10.96     6.72
-1981.622  -1978.678     1061.44      353.46      114.75       19.61       -1.12       -6.04    18.99    10.96     6.24
-1978.678  -1975.734     1046.55      373.99      128.38        4.72       19.41        7.60    18.85    11.27     6.60
-1975.734  -1972.790     1036.46      361.64      115.08       -5.37        7.06       -5.70    18.76    11.08     6.25
-1972.790  -1969.846     1014.27      354.86      129.41      -27.56        0.28        8.62    18.56    10.98     6.63
-1969.846  -1966.902     1041.25      342.89      125.99       -0.58      -11.69        5.20    18.81    10.79     6.54
-1966.902  -1963.958     1053.97      339.84      122.60       12.14      -14.73        1.81    18.92    10.74     6.45
-1963.958  -1961.014     1093.04      361.65      114.07       51.21        7.08       -6.72    19.27    11.08     6.22
-1961.014  -1958.070     1018.67      354.49      116.80      -23.16       -0.09       -3.99    18.60    10.97     6.30
-1958.070  -1955.126     1075.64      354.19      122.94       33.81       -0.39        2.16    19.11    10.97     6.46
-1955.126  -1952.182     1051.96      350.76      116.80       10.13       -3.81       -3.98    18.90    10.91     6.30
-1952.182  -1949.238     1016.01      353.19      126.35      -25.82       -1.39        5.57    18.58    10.95     6.55
-1949.238  -1946.294     1016.00      351.78      118.17      -25.83       -2.79       -2.61    18.58    10.93     6.34
-1946.294  -1943.350     1026.59      365.08      115.44      -15.24       10.51       -5.35    18.67    11.14     6.26
-1943.350  -1940.406     1043.40      363.74      122.25        1.57        9.16        1.47    18.83    11.12     6.44
-1940.406  -1937.462     1059.12      346.32      124.98       17.29       -8.25        4.19    18.97    10.85     6.51
-1937.462  -1934.518     1060.93      365.11      129.07       19.10       10.53        8.28    18.98    11.14     6.62
-1934.518  -1931.574     1041.68      343.60      124.98       -0.15      -10.98        4.20    18.81    10.80     6.52
-1931.574  -1928.630     1048.24      377.38      118.50        6.41       22.81       -2.28    18.87    11.32     6.34
-1928.630  -1925.686     1050.20      363.71      113.39        8.37        9.13       -7.39    18.89    11.12     6.21
-1925.686  -1922.742     1072.19      352.82      117.83       30.36       -1.75       -2.96    19.08    10.95     6.33
-1922.742  -1919.798     1058.87      363.75      117.49       17.04        9.18       -3.29    18.96    11.12     6.32
-1919.798  -1916.854     1021.06      351.08      122.58      -20.77       -3.49        1.80    18.62    10.92     6.45
-1916.854  -1913.910     1051.60      363.38      128.72        9.77        8.80        7.93    18.90    11.11     6.61
-1913.910  -1910.966     1061.20      359.97      125.99       19.36        5.39        5.21    18.99    11.06     6.54
-1910.966  -1908.022     1042.68      356.22      112.04        0.85        1.64       -8.75    18.82    11.00     6.17
-1908.022  -1905.078     1026.60      344.97      120.90      -15.23       -9.60        0.12    18.67    10.82     6.41
-1905.078  -1902.134     1059.50      377.03      110.67       17.67       22.45      -10.12    18.97    11.32     6.13
-1902.134  -1899.190     1051.64      366.47      115.10        9.81       11.89       -5.69    18.90    11.16     6.25
-1899.190  -1896.246     1058.77      352.81      130.09       16.94       -1.77        9.30    18.96    10.95     6.65
-1896.246  -1893.302     1054.72      358.97      122.60       12.89        4.39        1.81    18.93    11.04     6.45
-1893.302  -1890.358     1031.10      351.82      128.74      -10.74       -2.75        7.95    18.71    10.93     6.61
-1890.358  -1887.414     1056.04      344.61      117.15       14.21       -9.96       -3.64    18.94    10.82     6.31
-1887.414  -1884.470     1029.68      365.43      121.57      -12.15       10.86        0.78    18.70    11.14     6.43
-1884.470  -1881.526     1042.32      358.26      117.48        0.49        3.69       -3.31    18.82    11.03     6.32
-1881.526  -1878.582     1016.23      335.73      120.55      -25.61      -18.84       -0.24    18.58    10.68     6.40
